Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Arlington,Charlotte Milan,20311,20181,20181,Curbside,,,Curbside,,Yes,,,None,Yes,,34,,Both,Both,Neither,Neither,,Yes,3,32,,Yes,,Yes,Yes,,,Yes,,Yes,12811,Yes,,No,72,5247,,,,,0,,0,0,0,0,0,3539,91,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,0,No,,,,,
ASHBURNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,John J. Pankosky,1133,200,200,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Both,Both,Yes,,,,,,,,,,,,Yes,Yes,62,Yes,,Yes,110,,,,38,34,3,3,,,,,,,,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,No,,,,"Ashby Recycling Center and Transfer Station is open the 2nd & 4th Saturday of each month from 9:00 am to 1:00 pm. Waste motor oil is collected at the Ashby Fire Department every Sunday from 9:00 am to noon. 
The container tonnage includes 17.81 tons glass",
Ashfield,Eric Weiss,878,800,800,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,371,Yes,,Yes,72,,,,116,88,,38,14,,,,,,3,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
Ashland,DAVID MILLER,6090,5563,5563,Curbside,,,Curbside,,Yes,,,None,Yes,,14,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,3347,Yes,,No,71.99,1408,,,,,,,,,,,,200,16,0,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,0,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,1 or 2,0,0,Yes,1,No,Yes,,
Athol,Larry Adams,4000,1050,1050,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Both,Both,Yes,,,,,,,,,,,,,Yes,462,No,175,Yes,76,,,,343,144,,32,5,,,,,,18,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,No,We also service private commercial haulers that provide curbside recycling and trash pickup to local residents as well as non-Athol residents in neighboring communities.  The private haulers account for an additional 1554 tons of trash collected.  A portion of the recycling tonnage reported in question #8 is generated from the private haulers.,
Attleboro,Cheryl Perry,16457,13913,13913,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,5,40,Both,Both,Neither,Neither,Yes,,,,,,,Yes,Yes,Yes,No,,,Yes,9098,Yes,,No,75,4534,,66,,,,197,,,,,,3276,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,,
Auburn,Amy Sullivan,7603,5013,5013,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,Yes,10,36,Both,Both,Neither,Neither,,Yes,1,64,,Yes,,,,,,,,,4219,No,0,Yes,74.81,1433,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,"Household Hazardous waste days are bi-annual, and will be held during the even years (i.e. 2014).
Bulky waste not collected by municipal program.",
AVON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Andrew Jackson,3020,1260,1260,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,803,No,151,Yes,68,358,,,,,12,58,5,15,,,,88,5,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,No,,,,,
Barnstable,Robert Lovell,47000,12000,47000,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,,,,,,Yes,,9279,No,2764,Yes,37.51,,,,1822,827,,1796,41,2764,2080,,,,95,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Yes,4,Yes,Yes,,
Barre,Andrea,2254,1525,1525,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Both,Neither,Yes,,,,,,,,,,,,Yes,,1072,Yes,,Yes,,143,210,,,,,81,,,,,,,28,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,,
Becket,Christopher Bouchard,1748,1748,1748,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Both,Yes,,,,,,,,,,,,,Yes,322,No,122,Yes,77.5,,,,63,40,,35,,,4,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,Year Round,0,No,,,,,
Bedford,Gretchen Carey,4465,4440,4440,Curbside,Yes,48,Curbside,,,,,None,Yes,,17,,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,3849,No,40,No,65,0,0,0,1005,515,0,43,0,0,0,0,0,305,3,Between 3 & 10,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Once a Month,0,Year Round,Yes,2,Yes,Yes,"Our hauler only collects monitors and TVs as e-waste, so we held an event day at the DPW to collect it. The electronics were picked up for free, but the town cleaned out its store of dead monitors, costing us $250. 
The Hauler collects white goods at no extra charge, but we had an event day at which we collected approximately 3 tons of metal and made $360 profit.",
BELCHERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Denis Fraine,6100,5200,5200,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,94,None,Yes,Yes,1,52,Both,Both,Neither,Neither,,Yes,1,64,Yes,,No,,,,,,,,4386,No,212,No,65,1511,,,,,15,,,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Between 3 & 10,Yes,1,Yes,No,,
Belmont,Mary Beth Calnan,9958,9917,9917,Curbside,,,Curbside,,,,,None,Yes,Yes,36,8,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,7491,Yes,,No,72,,,,1419,711,,4,,,,,,3367,53735,Between 3 & 10,0,Once a Week,0,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,8,Yes,No,,
BERKLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLIN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardston,Jan Ameen,800,625,625,Drop-off,,,Drop-off,,,,,None,,,,,Neither,Recycling,Neither,Both,Yes,,,,,,,,,,,,,Yes,344,No,40,Yes,70,,,,93,77,,12,,,,,,,4,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,Year Round,0,Yes,1,Yes,Yes,,
Beverly,Robert Dever,13170,13170,13170,Curbside,,,Curbside,Weekly,,Yes,65,None,Yes,Yes,1,42,Both,Both,Both,Neither,,Yes,5,35,Yes,Yes,No,,,,,,,Yes,11627,Yes,,No,77.5,,,,2258,1369,,,,,,,,,,0,0,Once a Month,1 or 2,Year Round,Year Round,0,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,Yes,1,No,No,,
Billerica,Stephen Robertson,14662,13357,13357,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,Yes,,12,,Both,Both,Neither,Neither,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,No,,,Yes,12727,Yes,,No,72,2006,,30,678,887,,40,,,,,,1450,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,Yes,1,No,No,"In section 9, Oil based paint is collected once a year at the Hazardous Waste collection event. Latex paint is accepted as part of regular curbside trash collection as long as it is dried out.",
Blackstone,William T. Walsh,3450,3450,3450,Curbside,,,Curbside,Bi-weekly,,Yes,14,None,,Yes,,40,Both,Both,Recycling,Neither,,Yes,2,32,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,16750,No,85,Yes,74.81,0,350,1400,1400,600,20,120,30,150,20,25,0,150,50,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,We host a hazardous drop off day every two years,
BLANDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Shelly OToole,1793,1793,1793,Drop-off,,,Drop-off,,,,,None,,Yes,,5,Both,Neither,Both,Neither,Yes,,,,,,,,,,,Yes,Yes,Yes,724,Yes,,Yes,75,,28,86,139,128,,35,2,,2,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Once a Month,Year Round,Year Round,Once a Month,Once a Month,0,0,0,Year Round,Year Round,Yes,20,Yes,No,"The rates for recycling are on a sliding scale and vary month to month.  Some months we receive a rebate, and others we pay a fee per ton.",
Boston,susan cascino,265246,265246,246002,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,Yes,,13,,Both,Recycling,Neither,Neither,,,,,,,,Yes,,Yes,No,Yes,Yes,Yes,191348,Yes,,No,79,33478,,,404,,,3270,,,,,3,7637,861,Between 3 & 10,Between 3 & 10,Once a Week,1 or 2,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,Once a Week,Yes,4,No,No,,
Bourne,Phil Goddard,7692,7692,7692,Both,,,Both,,,,,None,,Yes,,52,Both,Both,Both,Both,,,,,,,,,,,,,Yes,Yes,5984,No,1260,Yes,,,408,661,132,960,,783,20,,,,,3963,140,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,Our facility is a regional landfill that takes in MSW from haulers that collect from businesses and non-residents and a C&D transfer station.  Local business can also bring in recyclables. ,
Boxborough,Thomas Garmon,1978,988,988,Drop-off,,,Drop-off,,Yes,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,,,,793,No,146,Yes,72,336,,,,,,72,0,,,,0,0,16,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,No,,,,"polystyrene is placed in the solid waste containers,
We do not accept yard waste at all
Our rigid plastics, wood, mattresses, and carpet are not separately tracked.
We pay .07 for each monitor. Of the 16 tons of e-waste, a quantity of 6215 monitors were collected.
Of the 72 tons of metal/appliances, 64 tons were scrap metal, we received an average of $50 per ton rebated on hauling fees.",
BOXFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Nolan,12000,10300,10200,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,Yes,Yes,12,42,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,11332,Yes,,No,24,2690,,,,,5,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,1 or 2,Yes,2,No,No,"Cart program for trash and recycling (64 gal for each) did not start until October 1, 2013",
Brewster,"Robert L. Bersin, PE",7500,3700,7500,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Both,Yes,,,,,,,,,,,,Yes,Yes,2200,No,492,Yes,45,0,,34,427,446,0,57,40,,,,0,320,28,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,6,Yes,No,Wood Mattresses and carpet are included in the Buidling and Demolition Debris tonnage.,
Bridgewater,Michael Dutton,8970,2000,2000,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,1700,Yes,,Yes,65,,,,337,147,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J Patrick Sullivan,31000,26100,26100,Curbside,,,Both,,,,,None,Yes,,43,,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,Yes,Yes,24755,Yes,,No,,,,,2680,1825,,250,50,,,,,5837,175,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,Paint and Paint products collected at Recycle Depot April 1'st thru October 31'st six days per week.,
BROOKFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline,Ed Gilbert,25092,13600,13600,Curbside,,,Curbside,Weekly,Yes,Yes,65,None,Yes,,41,,Both,Both,Both,Neither,,,,,,,,Yes,,Yes,Yes,Yes,,Yes,8715,Yes,,No,,5246,,,,,,46,22,,,,,3000,40,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,Yes,27,No,Yes,,
Buckland,Jan Ameen,700,625,625,Drop-off,,,Drop-off,,,,,None,,,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,246,No,0,No,70,,,,71,47,,16,,,,,,,,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
BURLINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge,Ms. Randi Mail,46569,31870,44290,Curbside,,,Both,Weekly,Yes,Yes,65,Both,Yes,,38,,Both,Both,Neither,Neither,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,15642,Yes,,Yes,75.1,9308,,,,,,85,510,,,,144,2089,96,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,3,No,No,"The City of Cambridge DPW held 3 comprehensive household hazardous waste collection events in 2013 and will hold 4 in 2014. In 2013, 792 cars came to the HHW events. DPW also operates a Recycling Center that is open to the public 15 hours/week and staffed",
CANTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,Timothy,1850,1650,1650,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Neither,,,,,,,,,,,,,Yes,,1809,Yes,,No,72,,68,161,186,175,90,256,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,470,450,450,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,Yes,Yes,164,No,0,No,70,,,,46,35,,,,,,,,,1,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Yes,1,Yes,Yes,,
CHARLTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatham,Jeffrey Colby,3883,3621,3621,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,Both,,,,,,,,,,,,,Yes,Yes,5345,No,990,Yes,37.51,32,,268,337,404,30,195,45,744,,,5,2000,43,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,No,,,,"Paint is collected but only April until October (not completely year round).
24 Tons of books were also recycled.",
