Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Arlington,Charlotte Milan,22607,22607,22607,Curbside,,,Curbside,,Yes,,,None,Yes,,38,,Both,Both,Neither,,Yes,3,32,,Yes,Yes,,Yes,,Yes,13014,Yes,70,4944,,,,,0,28,,0,0,0,0,3435,73,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,No,,,,,
ASHBURNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,John J. Pankosky,1131,200,200,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Both,Yes,,,,,,,,,Yes,Yes,58,Yes,110,,,,40,27,,4,,,,,,,1,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,"Mixed paper is reimbursed on a market price per load basis.It varied from a high of $70/T to a low of $15/T.
Ashby is joining the Devens HHW Collection Center 7/1/2013.",
Ashfield,Eric Weiss,878,878,878,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,354,Yes,68,,,,119,84,,37,14,,,,,,3,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
Ashland,DAVID MILLER,6720,5553,5553,Curbside,,,Curbside,,Yes,,,None,Yes,,12,,Neither,Neither,Neither,Yes,,,,,,,,,,,3363,Yes,70.86,1405,,,,,,,,,,,,189,16,0,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,0,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,1 or 2,Yes,1,No,Yes,,
Athol,Larry Adams,4000,1000,1000,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Yes,,,,,,,,,,Yes,454,No,,,,,325,139,,27,6,125,,,,,19,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,We also service private commercial haulers that provide curbside recycling and trash pickup to local residents as well as non-Athol residents in neighboring communities.  The private haulers account for an additional 2023 tons of trash collected.  A portion of the recycling tonnage reported in question #8 is generated from the private haulers,
Attleboro,Cheryl Perry,16457,13787,13787,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,Yes,4,32,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,,Yes,9098,Yes,75,4534,,,,,,95,,,,,,,160,Once a Week,Once a Week,Once a Week,Once a Week,Between 3 & 10,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Yes,1,No,No,,
Auburn,Amy Sullivan,7518,4994,4994,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,Yes,10,32,Both,Both,Neither,,,,,,,,,,,,4373,No,74.01,1460,,,,,,,,,,,,,,0,1 or 2,0,0,1 or 2,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,,
Avon,Tara Tradd,1705,1705,1705,Curbside,Yes,96,Curbside,Bi-weekly,Yes,Yes,65,None,,Yes,,21,Both,Both,Neither,,,,,,,,,,,,1680,Yes,70.57,349,,,,,,,,,,,,,5,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,"Residents can use either tote size for trash or recycling typically a family household size of <2 than a 65 gallon tote for trash was provided larger households use the 96 gallon for trash.  This past year i am seeing a trend of households switching the size tote for trash vs recycling and we provide recycling stickers for that transition.  Eventually I would like to see the entire town using the 96 gallon totes for recycling only.

Our compost site accepts yard waste April - November

Our ewaste is billed by container not by tons each container can hold about 5000lbs and each container costs the town $650.00

We are the host community for Waste Management Single Stream Recycling Facility and they do not charge the Town to accept our recycling materials.",
Ayer,Andrew Jackson,3385,1413,1413,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,600,Yes,,373,,,,,,,,,,,,500,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
Barnstable,Robert Lovell,47000,12000,47000,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,,,,Yes,,9308,No,37.51,,,,1759,815,,2239,103,2804,2241,,,1030,108,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,0,Yes,4,Yes,Yes,"We recycle other items not included in any catergory's. Our Total Recycle for Calendar Year 2012 is 26,902, this does not include Demo that is recycled.",
Barre,Andrea Mastrototoro,2254,1525,1525,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Both,Yes,,,,,,,,,,,1565,Yes,,204,,,,142,,90,,,,,,,30,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
Becket,Christopher J. Bouchard,1750,1750,1750,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Yes,,,,,,Yes,Yes,,,Yes,457,Yes,77,,,,64,41,,27,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,Year Round,0,0,0,0,0,0,No,,,,,
Bedford,Gretchen Carey,5130,4336,4336,Curbside,Yes,48,Curbside,,,,,None,Yes,Yes,4,15,Both,Both,Neither,,Yes,1,48,,Yes,,,,,,3697,No,69,0,,,894,477,0,39,0,0,0,0,0,3000,37,Between 3 & 10,0,Once a Week,0,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,"Certain HHWs like fluorescent bulbs and mercury have collection points open to the public during office hours.
Bulky rigid plastics numbers are included in commingled.
Bedford residents have access to 8 HHW days a year, but Bedford only hosts one ( at the Lexington landfill).
Yard waste tonnage only given for pick up, not resident drop off. ( we do not have a system for gauging drop off tonnage).",
BELCHERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham,Denis Fraine,6012,5040,5040,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,95,None,,Yes,,52,Both,Both,Neither,,Yes,1,64,Yes,,,,,,,4780,Yes,65,1466,,,,,11,,,10,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Belmont,Judi Carmody,9930,9930,9930,Curbside,,,Curbside,,,,,None,Yes,Yes,36,7,Both,Both,Neither,,,,,,,,,,,Yes,7351,Yes,70,0,0,0,1492,730,,,,,,,,,,0,0,Once a Week,0,Year Round,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,8,Yes,No,,
Berkley,Scott A. Fournier,2118,974,974,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,,741,Yes,89.32,0,11,74,69,123,30,62,,105,1,1,,,4,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Each month a non profit organization in town (Girl Scouts, Boy Scouts, Food Pantry etc) signs up for cans and bottles in which they come in at the end of the day when the Recycling Center is open to pick up the cans and bottles so they can turn them in and use the money for their organization. Also, we do not have a method to determine yard waste. A lot of residents burn theirs during burning season and what is brought in is composted into a beneficial mulch.",
BERLIN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardston,Jan Ameen,780,625,625,Drop-off,,,Drop-off,,,,,None,,,,,Neither,Neither,Neither,Yes,,,,,,,,,,Yes,357,Yes,69,,,,87,66,,11,,,,,,,6,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,No,,,,,
Beverly,Robert Dever,13594,13160,13160,Curbside,,,Curbside,Bi-weekly,,Yes,65,None,Yes,Yes,13,42,Both,Both,Both,,,,,,,,,,,Yes,11873,Yes,75,,,,2168,1147,,,,,,,,11844,15,0,0,Once a Month,1 or 2,Year Round,Year Round,0,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,2,No,Yes,,
Billerica,Steve Robertson,14651,13346,13346,Curbside,Yes,64,Curbside,,,,,None,Yes,,10,,Both,Both,Neither,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,13008,Yes,70,55,,65,2073,1335,,19,,,,,,1710,,Between 3 & 10,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,"In section 9:  Some items are available for every other week collection. As there is no way to check that off, they are listed as year round.

In section 9: Oil based paint collected one a year with HHW. LAtex paint collected weekly with regular trash as ",
Blackstone,William T. Walsh,3450,3450,3450,Curbside,,,Curbside,,,,,None,,Yes,,40,Both,Both,Recycling,,Yes,3,30,Yes,,Yes,Yes,,Yes,Yes,18106,No,74.01,,330,1150,1375,560,30,110,21,130,35,8,4,125,35,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
BLANDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Shelly OToole,1785,1785,1785,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Neither,Both,Yes,,,,,,,,,,,684,Yes,81,,19,78,135,194,,,5,,,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,No,,,,"Included in the commingled total are: 
glass
plastic (#1-7)
aluminum
furniture
metal
books / dvd's
car / truck tires",
Boston,Susan Cascino,252699,252699,229302,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,Yes,,11,,Both,Trash,Neither,,,,,,,,,,,Yes,192376,Yes,81,32201,,,,,,,,,,,,10445,634,Between 3 & 10,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Yes,4,No,No,"$159/ton is the cost for yard waste, CRTs, and freon items",
Bourne,Phil Goddard,7671,7671,7671,Both,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,,,,,,,,,,Yes,Yes,5836,No,,,418,502,63,618,,793,67,,,,,2996,154,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Boxborough,Thomas Garmon,1975,1019,1019,Drop-off,,,Drop-off,,Yes,,,None,,,,,Both,Neither,Neither,,,,,,,,,,,,1033,Yes,70,313,,25,,,,,,,,,,,,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,"We pay  $217.35 per haul to dispose of mixed recyclables. We do take smaller cardboard in our compacted recyclables, but separate out the large pieces to help with compaction.
We do collect white goods and e-waste for disposal, but it has been tracked by pieces.
We do not accept yard waste.",
BOXFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Nolan,10015,9998,10015,Both,,,Both,,Yes,,,None,Yes,Yes,10,40,Both,Both,Recycling,,,,,,,,,,,Yes,11597,Yes,50,2136,,,,,,10,50,,,,,3300,20,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,0,1 or 2,Yes,2,No,No,,
Brewster,"Robert L. Bersin, PE",7832,3726,7832,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,2598,No,45,0,0,23,482,372,0,59,43,,,,0,350,22,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Wood, mattresses, and carpet tonnages are included in bulky waste tonnage.",
Bridgewater,Michael Dutton,8645,2000,2000,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,,,1700,Yes,85,,,,337,146,,1,,,,,,,1,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J. Patrick Sullivan,31000,26100,26100,Curbside,,,Both,,,,,None,Yes,,43,,Both,Recycling,Neither,Yes,,,,,,,,,Yes,Yes,24621,Yes,,,,,2644,1813,,259,25,,,,,5801,180,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,Paint Collection and Paint Swap open 6 days per week from April 1 through October 31 each year at Recycle Center.,
Brookfield,Lucinda Thompson,1204,500,500,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,,,,Yes,,532,Yes,97,156,,,,,,23,20,,,,,,4,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,Year Round,No,,,,Latex paint is collected year round. Oil based paint is collected at HHW only,
Brookline,Ed,26500,13200,13200,Curbside,,,Curbside,Weekly,Yes,Yes,65,None,Yes,,41,,Both,Both,Both,,,,,,,Yes,Yes,,,Yes,9243,Yes,,5391,,,,,,45,22,,,,,3200,42,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Yes,27,No,Yes,,
Buckland,Jan Ameen,750,675,675,Drop-off,,,Drop-off,,,,,None,,,,,Neither,Neither,Neither,Yes,,,,,,,,,,Yes,249,No,69,,,,75,44,,11,,,,,,,,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Burlington,Teresa Keene,6890,6890,6890,Curbside,Yes,64,Curbside,,,,,None,Yes,,17,,Both,Both,Neither,Yes,,,,,,Yes,Yes,,,,6521,Yes,71,,,,1350,761,,,,,,,,,,0,Once a Month,Once a Month,Once a Month,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,Yes,2,No,No,,
Cambridge,Ms. Randi Mail,46694,32289,44781,Curbside,,,Both,Weekly,Yes,Yes,65,Drop-off,Yes,,37,,Both,Both,Neither,,,,,,,,,,Yes,,15952,No,91.78,9205,,56,81,15,,91,692,,,,120,1831,112,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,3,No,No,Cambridge residents can pay a fee to bring HHW to Lexington Minuteman Facility. Call Randi for further revenue info.,
CANTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlisle,Timothy Goddard,1847,1647,1647,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,,,,,,,Yes,Yes,,Yes,,1818,Yes,,,71,153,184,205,,96,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,No,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,570,550,550,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,,Yes,166,No,69,,,,50,37,,,,,,,,,1,0,0,Year Round,Year Round,0,0,0,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Charlton,Robin L. Craver,4301,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,"The Town of Charlton does not provide regular trash pick-up.  Residents and businesses contract with local companies.  Cassella located just over the Southbridge line, holds 4 Hazardous Waste Days free of charge for Charlton residents.",
Chatham,Jeffrey Colby,3883,3605,3605,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,5461,No,,,,239,335,412,23,191,51,744,,,,2800,38,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,Paint is collected but only April until October (not totally year round).,
Chelmsford,Nicholas,13407,13407,13407,Curbside,,,Curbside,,Yes,,,None,,Yes,,2,Both,Both,Neither,,Yes,2,32,,Yes,Yes,,Yes,,Yes,10905,Yes,71,3919,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Between 3 & 10,Yes,1,No,Yes,,
CHELSEA,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
