Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2019,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2018?,How many events?,Regional,Reciprocal,,
Blackstone,Colleen M. Strapponi,3647,3647,3647,Curbside,,,Both,Bi-weekly,,Yes,90,None,,44,Both,Both,Neither,Recycling,Yes,,,,,,,,,Yes,3,30,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,10,,,,,,,,2192,No,0,Yes,,68.18,0,179,510,179,359,,21,,,15.18,0.93,,54,0,308,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,No,,,,,
Blandford,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Leslie Caisse,1850,1850,1850,Drop-off,,,Drop-off,,,,,None,,0,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,731.88,Yes,0,Yes,,83,49.44,19.52,105.17,105.17,,17.89,61.03,12.38,,0.85,,,,18.11,,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,Year Round,0,1 or 2,0,Year Round,Year Round,Year Round,0,0,No,,,,,
Boston,Brian Coughlin,259000,259000,259000,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,17,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,192777,Yes,0,No,,65.04,37440,,,,,,412,4.44,,,,,1232.82,367,,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,Year Round,Year Round,0,Between 3 & 10,Yes,4,Yes,No,,
Bourne,Phil Goddard,8132,8132,8132,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,,52,Both,Both,Recycling,Both,,,Yes,,,,30,,,Yes,1,96,Yes,,No,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,5627.69,No,1838.94,Yes,,,6097.7,,159,,19,,937.58,25.14,,48.43,,,5311.09,82.88,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
Boxborough,Vicki Rzasa,2011,985,985,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,,,150,,,,,,,,,,,,,,,,,,,,,,,,734,No,149.5,No,,70,322,,,,,,58.36,,149.5,,,,,9.86,,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,No,,,,,
Boxford,KAREN SHERIDAN,2779,2604,2779,Curbside,,,Both,Weekly,Yes,,,None,,30,Both,Both,Recycling,Recycling,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,1746,No,78,Yes,,76,853,,80,,,,45,1.27,,,,,,14.55,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,Once a Week,1 or 2,Once a Month,0,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Year Round,Once a Week,0,Once a Week,0,Once a Week,Yes,1,No,Yes,,
BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Nolan,12235,10375,10375,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,13,52,Both,Both,Neither,Neither,Yes,Yes,,,,150,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,40,,,,,,,Yes,11245.78,Yes,0,No,104,24.5,3118.74,,,,,39,150,25.62,,,,,3520,4,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Brewster,Emily Sumner,7300,3798,3798,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Recycling,Both,,Yes,Yes,,Yes,45,10,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,1159.04,No,569.45,Yes,,66.23,0,,,509.67,334.88,,120,130.83,,10.64,,4.25,205.2,14.96,569.45,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
