Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Ashby,John J. Pankosky,1128,200,200,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,74.07,Yes,,Yes,,110,,,,30.09,11.62,1.39,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,Year Round,No,,,,"Items listed as recycled year round are collected at the Ashby Recycle Center & Transfer Station, open every other Saturday, 9:00 a.m. to 1:00 p.m. Scrap metal and e-waste are collected, but no tonnage figures are available as it was not hauled in CY16. We are permitted to collect and collect yard waste but have no tonnages. It is composted, spread by the town and taken for use by residents. Mixed paper tonnage includes cardboard and newspaper.",,
Ashfield,Kathleen A. Casey,719,413,413,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,288.35,No,46.14,Yes,,71,,,,115.01,88.67,,6.5,4.03,,,,,,8.5,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Ashland,DAVID S. MILLER,6165,5728,5728,Curbside,,,Curbside,Weekly,Yes,,,None,16,,Both,Both,Neither,Neither,,Yes,,,Yes,146,,,Yes,,,,,,,,,,,,,,,,3244.73,Yes,,No,12,70.39,1380.49,,,,,,,,,,,,215.24,15.45,,1 or 2,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,Once a Month,0,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,0,0,0,0,1 or 2,Yes,1,No,Yes,,,
Athol,Larry Adams,4664,1149,1149,Drop-off,,,Drop-off,,,,,None,,,Recycling,Neither,Both,Both,,,Yes,Yes,Yes,,50,10,Yes,,,,,,,,,,,,,,,,518.4,No,351.98,Yes,,76,,,,321.62,143.82,,35.33,6.98,,,,,,14.14,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,We also service private commercial haulers that provide curbside recycling and trash pickup tolocal residents and non-Athol residents in neighboring communities. The private haulers account for an additional 1548.27 tons of trash collected. This amount is in addition to the tonnage reported in Question 5. The tons reported on Question 5 are the amounts collected in the PAYT bags.,,
Attleboro,Cheryl Perry,17453,14049,14049,Both,,,Both,Weekly,Yes,Yes,64,None,5,35,Both,Both,Neither,Neither,,Yes,,,Yes,203,,,Yes,,,,,,,Yes,Yes,Yes,Yes,19,Yes,,,Yes,9572,Yes,,No,52,73,4630,,54.6,,,,318,1.25,,,,,378,84,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,No,,,
Auburn,Amy Sullivan,7217,5069,5069,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,8,42,Both,Both,Neither,Neither,,Yes,,,,216,,,,Yes,1,64,,Yes,,Yes,,,,,,,,Yes,4456.79,No,0,,,66,1423.48,,,,,,,,,,,,,,,1 or 2,1 or 2,0,0,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,No,Enforcement of mandatory recycling will begin once we hire staff with grant assistance. Residents are also directed to NEDT in Sutton for hazardous waste and to Leicester Recycling Center for other materials.,,
Avon,Kathleen Waldron,1669,1444,1444,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,4,30,Both,Both,Both,Neither,Yes,,,,,,,,,Yes,1,6496,,,,,,,,,,,,,1814.44,No,100,Yes,,72,331.27,,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,0,0,No,,,,,,
Ayer,Andrew Jackson,3124,1326,1326,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,Yes,Yes,,80,10,Yes,,,,,,,,,,,,Yes,Yes,,Yes,722.16,Yes,,Yes,,68.11,271.83,,63.48,,,15.91,86.33,39.59,,,,,75,47.7,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,Bulky items are paid with purchased stickers issued in $5 increments. Stickers are applied to items based on a fee schedule posted in various locations and the town website.,,
Barnstable,P.J. Kelliher,23725,8785,12661,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Recycling,Neither,Neither,,Yes,,Yes,,240,,15,,,,,,,,,,,,,,Yes,,,8205,No,0,Yes,,70,1960,,513,,,,890,88,,44,,,1155,98,2614,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Year Round,0,Year Round,Year Round,0,Yes,4,No,No,,,
Barre,Andrea Mastrototoro,2271,1500,1525,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,Yes,,,753.17,Yes,,Yes,,,,178.89,,,,,88.78,,,0.63,,,,,76.06,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,No,,,,,,
Becket,Christopher Bouchard,1728,1728,1728,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Both,Yes,,Yes,,Yes,,40,,Yes,,,,,,,Yes,Yes,,No,,,,,,281.01,No,124.07,Yes,,80,,,,60.06,41.12,,27.22,3,,5.5,,,,9.87,,0,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,No,,,,,,
Bedford,Ed McGrath,4228,4228,4228,Curbside,Yes,48,Curbside,Weekly,Yes,,,None,4,27,Both,Both,Neither,Neither,Yes,,,,Yes,,,,,Yes,1,48,,Yes,,,,,,,,,,Yes,3947.4,Yes,,No,52,70,767,,,454,304,1.1,69.7,16.6,4.34,,,,750,5.36,1.34,1 or 2,1 or 2,Year Round,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,0,1 or 2,No,,,,"Costs for Rigid Plastics, wood waste were cost of container ($150). Other materials recycled (in tons): Batteries (1.5), Books (2.6), Tires (0.8), Shredded Paper (3.62), Propane Tanks (0.5).",,
Belchertown,Steven J. Williams,6745,1643,1643,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,,Yes,Yes,Yes,,100,20,Yes,,,,,,,Yes,Yes,,Yes,0,,,Yes,,728.9,Yes,,Yes,,63,646.23,,,,,,72.01,3.68,,1.6,,,108,18.67,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,"RE: Mandatory Recycling~ Belchertown's Solid Waste Transfer Station & Recycling Center Rules & Regulations can be found on the town website: www.belchertown.org. under DPW - There is a side link posted perpetually.These rules are municipally enforced by the Board of Selectmen; enforcement pertains to only those transfer station users (approx. 1600 +/- annual users) who opt to purchase an annual sticker, use orange recyclable bags and adhere to the program.Transfer station attendants(2) are not ""on the street"" issuing violations, but are charged with upholding the Rules & Regs. They do enforce the need for an access permit sticker for entrance, use of bags, and other fees associated within the facility as a means for municipal enforcement. Violation letters are sent out to those offenders.",,
BELLINGHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Mary Beth Calnan,9958,9917,9917,Curbside,,,Curbside,Bi-weekly,,,,None,38,8,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,7358,Yes,,No,,64.58,11,,18,1214,595,1.62,2.12,55,,,,,3302,27.35,,Between 3 & 10,0,Once a Week,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,1 or 2,1 or 2,0,0,No,,,,,,
BERKLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Susan Reguera,1190,996,996,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,,,140,,,,,,,,,Yes,Yes,,No,,,Yes,,Yes,620,No,17,Yes,,85.5,,,55.7,58.4,74.3,,16.05,,,,,,,3.47,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,
Bernardston,Jan Ameen,801,650,650,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,338.18,No,44.74,Yes,,69,,,,89.05,74.18,,20.58,1.5,,,,,,6.2,,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Beverly,Robert Dever,14000,12504,12604,Curbside,,,Curbside,Weekly,,,,None,13,42,Both,Both,Both,Neither,Yes,Yes,,,,100,,,,Yes,5,35,Yes,Yes,No,,,,,,,,,,11982.3,Yes,,No,52,62,,,,2112,1753.7,,6.68,63.34,,,,87.21,760,13.75,,1 or 2,1 or 2,Once a Month,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,Year Round,0,1 or 2,Yes,1,Yes,Yes,,,
Billerica,Stephen Robertson,13449,13449,13449,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,11,5,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,No,,,,,Yes,12416,Yes,,Yes,,66.63,4161,,,,,,120,,,,,,1500,23,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Week,Once a Week,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,0,0,0,Yes,1,No,No,Apartments/Condos services are all eligible (non-40B) excluding complexes that choose not to be a part of program. Not determined by # units. Drop off for yard waste (5 weeks) is only for Christmas Trees. No other yard waste may be dropped off. We get quantities for white goods and E-waste in # units combined. All tonnages are estimated. Latex paint accepted in regular trash as long as hard. Oil based paint accepted only at HHW event.,,
Blackstone,William T. Walsh,3576,3576,3576,Both,,,Both,Bi-weekly,,Yes,14,None,,40,Both,Both,Both,Both,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,5,,Yes,Yes,Yes,1906,No,0,Yes,,66,0,300,1400,1200,300,0,125,10,100,11,4,,125,42,100,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,,
BLANDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Leslie Caisse,1833,1833,1833,Drop-off,,,Drop-off,,,,,None,,5,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,735.31,Yes,,Yes,,79,,47.23,106.91,13.62,45.94,,79.54,11.33,,0.69,,,,16.75,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,0,Year Round,Year Round,Year Round,0,0,No,,,,Households with senior citizens receive 40 free 30 gallon stickers per year. These are the only residents who receive this PAYT benefit.,,
Boston,Brian Coughlin,287571,287571,287571,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,17,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,189222,Yes,,No,,68,37293,,,,,,3208,1.73,,,,,8820,,,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,Year Round,Year Round,0,Between 3 & 10,Yes,5,Yes,No,,,
Bourne,Phil Goddard,8082,8082,8082,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,,52,Both,Both,Recycling,Both,,,Yes,,,,30,,,Yes,1,96,Yes,,No,Yes,Yes,,No,,,Yes,,Yes,5812,No,4476,Yes,,,5452,,588,,314,,1053,26,,31,,,3132,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,"Note that we accept recyclables from commercial haulers at our single stream recycling transfer station including tonnage from Falmouth. Our residential recycling center is partially funded by the sticker fee and bulky item fees. It is also funded, as is our curbside collection program, by the ISWM Dept. Enterprise Fund. The ISWM EF derives revenue mainly from the landfill and from the C&D transfer station. More information can be found by visiting the department's website at townofbourne.com. Also, the notes from 2014 provide more detail about all of our operations. Finally, paint is collected only seasonally, Fridays and Saturdays, April - Oct. Note tonnage for the mattresses includes boxsprings and is for the residential stream only. The average of 50 pounds per unit was used to calculate tonnage as recommended by DEP.",,
Boxborough,Vicki Rzasa,2007,954,954,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,,Yes,,,,150,,,,,,,,,,,,,,,,,,,720,No,154.99,No,,62.12,,,,,336.93,,55.28,,,,,,,7,,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,Yes,1,No,No,"We have been collecting E-waste in a 50 yard container. We have been charged by the haul, no tonnage information was supplied to us. We have recently lost our vendor due to the cost of operating on their part. We had two hauls in 2016. I am guesstimating the tonnage based on past figures",,
Boxford,KAREN SHERIDAN,2856,2685,2856,Curbside,,,Both,Weekly,,,,None,,30,Both,Both,Recycling,Neither,Yes,,,,Yes,,,,Yes,Yes,5,32,,Yes,,Yes,,Yes,,,,,,,1615,No,88,Yes,,,,,88,578,468,,45,3,,,,,,13,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,Once a Week,1 or 2,Once a Month,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,0,Once a Week,0,Once a Week,Yes,1,Yes,Yes,"The cost for recycling curbside mixed paper and commingled containers (plastic, aluminum & glass) is included in the overall annual trash/recycling contract with municipal hauler JRM.",,
BOYLSTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Nolan,12235,10373,12235,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,12,42,Both,Both,Neither,Neither,Yes,Yes,,,,150,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,20,Yes,,,Yes,10945.95,Yes,,No,104,24.5,3457.04,,,,,3,141,44.63,,,,,,,3620,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,,
