Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Ashby,John J. Pankosky,1141,230,230,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,84.05,Yes,0,Yes,,110,,,6.37,20.84,22.39,0.94,22.13,4.39,,,,,,7.42,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,,,No,,,,"Items listed as recycled year round are collected at the Ashby Recycle Center & Transfer Station,
open every other Saturday, 9:00 a.m. to 1:00 p.m.  We are permitted to collect 
yard waste but have no tonnages. It is composted, spread by the town and take",,
Ashfield,Kathleen A. Casey,722,396,396,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,278,No,54.9,Yes,,71,,,,112.71,89.41,0,9,5.7,0,,,,,2.95,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,No,,,,,,
Ashland,DAVID S. MILLER,6177,5740,5740,Curbside,,,Curbside,Weekly,Yes,Yes,95,None,16,,Both,Both,Neither,Neither,,Yes,,,Yes,146,,,Yes,,,,,,,,,,,,,,,,,,,,,,3352.05,Yes,0,No,12,70.39,1297.6,,,,,,,23.61,,,,,220.62,18.16,,1 or 2,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,Once a Month,0,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Year Round,0,0,0,,Yes,1,No,Yes,,,
Athol,Duane Truehart,4653,1141,1141,Drop-off,,,Drop-off,,,,,None,,40,Recycling,Neither,Both,Both,,,Yes,Yes,Yes,,50,10,Yes,,,,,,,,,,,,,,,,,,,,,,507.6,No,334.6,Yes,,78.5,,,,289.8,143.97,,23.5,7.31,,,,,0.32,15.34,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,,No,,,,"We also service private commercial haulers that provide curbside recycling and trash pickup to
local residents and non-Athol residents in neighboring communities. The private haulers account for
an additional 1341.64tons of trash collected. This amount is",,
Attleboro,Jessica Singarella,17453,14094,14094,Curbside,,,Both,Weekly,Yes,Yes,64,None,5,37,Both,Both,Neither,Neither,,Yes,,,,203,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,19,Yes,Yes,Yes,Yes,,,Yes,9757.97,Yes,0,No,52,73,4707.05,,49,,,,221,1,,,,,2025,109,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,Yes,1,No,No,,,
Auburn,Amy,7479,5098,5098,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,8,44,Both,Both,Neither,Neither,,Yes,,,,216,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,,Yes,,Yes,12,,,,,,,Yes,4514,No,0,,,67.14,1454.76,,,,,,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,,,No,,,,The Town of Auburn holds a Household Hazardous Waste Event every other year (alternates with Town-wide cleanup).  The HHW day is scheduled for May 2018.,,
Avon,Kathleen Waldron,1459,1448,1448,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,6,30,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1812.94,No,78,Yes,,,395.89,,,,,,,8.69,,0.83,,,,5.49,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,0,,Yes,1,No,Yes,,,
Ayer,Andrew Jackson,3157,1313,1313,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,Yes,Yes,Yes,,80,10,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,773.16,Yes,0,Yes,,68.11,279.15,,59.76,,,27.16,107.46,7.45,,,,7.13,75,19.11,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,0,,No,,,,"Bulky items are paid with purchased stickers issued in $5 increments. Stickers are applied to items
based on a fee schedule posted in various locations and the town website.",,
Barnstable,Patrick Kelliher,23725,8785,12323,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,,Yes,,Yes,,240,,20,,,,,,,,,,,,,,,,,,,,Yes,,,7727,No,0,Yes,,57.79,1983,,617,,,,924,74,,67,,4,1145,80,2286,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,,Year Round,,,Yes,4,No,Yes,,,
Barre,Andrea Mastrototoro,2373,1500,1500,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Both,Neither,,,Yes,,Yes,,95,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,744.55,Yes,0,Yes,,,,167.27,,,,,76.78,,,9.74,,,,,61.73,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,0,0,0,Year Round,Year Round,,0,0,0,No,,,,,,
Becket,Christopher Bouchard,1779,1779,1779,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,Yes,,Yes,,,,50,,Yes,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,,268.76,No,128.46,Yes,,84,,,,42.39,42.19,1.47,34.24,1.2,,3.03,,,,8.07,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,0,No,,,,,,
Bedford,Edward McGrath,4957,4268,4268,Curbside,Yes,48,Curbside,Weekly,Yes,,,None,5,31,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3736,Yes,0,No,52,70,1340,,,,,1.2,52,20,8.1,,,,400,2.2,5.7,Year Round,1 or 2,Year Round,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,No,,,,"In addition to the above materials, Bedford collected 16 tons of other materials for recycling (shredded paper, books, tires, etc.) Total recycling from curbside program, recycling events and town operations was 1,637 Tons.",,
Belchertown,Steven Williams,7065,1723,1723,Drop-off,,,Drop-off,,Yes,,,None,,49,Neither,Neither,Neither,Neither,,,Yes,Yes,Yes,,100,20,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,0,,,,,,Yes,,576.41,Yes,0,Yes,,72.5,222.14,0,0,354.27,,,92,3,,2.04,,,475,14.55,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,"RE: Mandatory Recycling - Belchertown's Solid Waste Transfer Station & Recycling Center Rules and Regulations can be located on the Belchertown Town website:
www.belchertown.org., under DPW.",,
BELLINGHAM,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Mary Beth Calnan,9958,9917,9917,Curbside,,,Curbside,Bi-weekly,,,,None,36,8,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7252,Yes,0,No,,66.17,11,,18,1294.26,697,1.95,1.9,53,,,,,4204.3,33.4,,Between 3 & 10,0,Once a Week,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,,1 or 2,0,0,No,,,,,,
Berkley,Robert R. Rose,2176,1052,1052,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,Yes,,,Yes,40,,,,,,,,,,Yes,Yes,,,Yes,,Yes,0,,,,,Yes,Yes,,687.46,No,22,Yes,,,,,90,64,,22,93,,,3.57,6.29,,,11,221.01,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,No,,,,,,
Berlin,Susan Reguera,1190,996,1190,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,,,140,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,,703,Yes,0,Yes,,85.5,0,,68.9,,118,,24,,,,,,,4.13,,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,0,0,0,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,Year Round,0,0,Yes,1,No,No,,,
Bernardston,Jan Ameen,800,650,650,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,320.56,No,56.95,Yes,,70,,,,94.67,71.87,,27.06,2.15,,,,,,3.4,,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,0,0,Year Round,0,Year Round,0,,No,,,,,,
Beverly,Robert Dever,14000,12504,12604,Curbside,,,Curbside,Weekly,,,,Curbside,13,42,Both,Both,Both,Neither,Yes,Yes,,,,100,,,,Yes,5,35,Yes,Yes,No,,,,,,,,,,,,,,,,12251.4,Yes,0,Yes,52,63,,,,2115.3,1733,,9.49,76.69,,,,113,845,13.85,,1 or 2,1 or 2,Once a Month,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,Yes,1,Yes,Yes,,,
Billerica,Stephen Robertson,14799,13494,13494,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,11,7,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,12696,Yes,0,Yes,,68.3,4176,,,,,,140,,,,,,1500,26,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Week,Once a Week,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,0,0,0,Yes,2,No,No,"Apartments/Condos serviced are all eligible (non-40B) complexes, excluding complexes that choose not to be a part of program. Not determined by # of units. Drop off of yard waste is only for Christmas trees (5 weeks) or storm related tree debris (This yea",,
Blackstone,William T. Walsh,3582,3582,3582,Both,,,Both,Bi-weekly,,Yes,14,None,,40,Both,Both,Both,Both,Yes,,,,,,,,,Yes,3,32,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,19,,,,,Yes,Yes,Yes,2178,No,0,Yes,,67.14,,0,1250,1375,,5,100,9,50,309,6,0,165,53,100,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,1,Yes,No,,,
BLANDFORD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Leslie Caisse,1850,1850,1850,Drop-off,,,Drop-off,,,,,None,,8,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,Yes,735.49,Yes,0,Yes,,81,,17.48,91.69,108.76,117.43,,54.03,17.27,,2.2,,,,17.92,,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,Year Round,0,Year Round,Year Round,0,1 or 2,0,Year Round,,Year Round,0,0,No,,,,Households with senior citizens receive 40 free 30 gallon bag stickers per year. These are the only residents who receive this PAYT benefit.,,
Boston,Brian Coughlin,351000,351000,351000,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,15,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193000,Yes,0,No,,70,,,,,37700,3225,,4.14,,,,,8638,,,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,Year Round,Year Round,0,Between 3 & 10,Yes,4,Yes,No,,,
Bourne,Phil Goddard,8114,8114,8114,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,,52,Both,Both,Recycling,Both,,,Yes,,,,30,,,Yes,1,96,Yes,,No,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,5743,No,4212,Yes,,,5904,,320,,5,,1164,25,,43,,,3587,83,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,1,Yes,Yes,"Note that we accept recyclables from commercial haulers and the Town of Falmouth at our single stream recycling transfer station, subject to capacity availability.  Our residential recycling center is partially funded by the sticker fee and bulky item fee",,
Boxborough,Vicki Rzasa,2007,963,963,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,,Yes,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,769,No,172,No,,63.67,334.21,,,,,,55.42,,,,,,,18,,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,,Year Round,0,0,No,,,,,,
Boxford,KAREN SHERIDAN,2779,2600,2779,Curbside,,,Both,Weekly,,,,None,,30,Both,Both,Recycling,Recycling,Yes,,,,Yes,,,,Yes,Yes,5,32,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,1769,No,102,Yes,,,,,76,559,458,,59,3,,,,,,15,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,Once a Week,0,Once a Month,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Year Round,Once a Week,0,Once a Week,0,,Yes,1,No,Yes,"The cost for recycling curbside mixed paper and commingled containers (plastic, aluminum & glass) is included in the overall annual trash/recycling contract with the municipal hauler JRM.",,
Boylston,Dennis Costello,1711,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,0,No,0,,,,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,,,Yes,4,Yes,No,,,
