Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
ARLINGTON,Charlotte Milan,22607,22607,22607,Curbside,,,Curbside,Yes,,,None,Curbside,35,,Both,Both,Both,Yes,,,,,,,,,,Yes,14633,Yes,4563,,,,,,56,,,,,,2431,0,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,8,Yes,No,Our PAYT program pertains to commercial/business accounts only.,
ASHBURNHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHBY,John J. Pankosky,1123,200,200,Drop-off,,,Drop-off,,,,None,None,,,Recycling,Neither,Both,Yes,,,,,,,,,Yes,Yes,71,Yes,,,,46,35,,17.31,,,,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Week,Once a Month,Once a Month,Once a Week,0,0,Once a Month,Once a Month,Once a Month,0,0,No,,,,Ashby Recycle Center & Transfer Center is open the 2nd & 4th Saturday of each month from 9 am to 1 pm. We collect difficult to handle waste items indicated monthly on a bi-monthly basis. Waste oil and antifreeze is collected at the Ashby Fire Station on S,
ASHFIELD,Eric Weiss,800,800,800,Drop-off,,,Drop-off,,,,None,None,,52,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,391,Yes,,,,144,62,,,,,,,,,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
ASHLAND,DAVID MILLER,6712,5545,5545,Curbside,,,Curbside,Yes,,,None,Curbside,12,,Neither,Neither,Neither,Yes,,,,,,,,,,,3208,Yes,1474,,,,,,,,,,,,,0,0,Between 3 & 10,Between 3 & 10,Once a Month,Once a Month,1 or 2,1 or 2,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Yes,1,No,Yes,,
ATHOL,Larry Adams,4018,950,950,Drop-off,,,Drop-off,,,,Drop-off,None,,,Both,Neither,Both,Yes,,,,,,,,,,Yes,2422,No,,,,357,124,,20.3,7.72,125,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,We also service private commercial haulers that perform curbside pickup of both trash and recycling to local residents of several other communities.  The commercial haulers account for approximately 79% of our MSW.  The 950 (and growing) residential users,
ATTLEBORO,Cheryl Perry,42000,13875,13875,Curbside,,,Curbside,Yes,Yes,64,None,Both,4,36,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,,Yes,9724,Yes,4552,,,,,,926,,,,,,2064.5,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Once a Month,Yes,1,No,No,,
AUBURN,Amy Sullivan,7518,4980,4980,Curbside,Yes,64,Curbside,Yes,Yes,96,None,Both,10,,Both,Both,Neither,,Yes,1,64,,Yes,,,,Yes,,4546,No,1446,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Household Hazardous Waste collections have been held every two years, with one this past May (2012).

Although yard waste was collected on select Saturdays during the Spring and Fall of 2011, the total tonnage collected is not available, as the former con",
AVON,Tara Tradd,1705,1705,1705,Curbside,Yes,96,Both,Yes,Yes,65,None,Drop-off,,32,Both,Both,Neither,,,,,,,,,,,,1755,Yes,310,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,"Residents were given a preference on the size of Trash Tote that they wanted 96 or 64 based on their household needs
A 65 gal recycling tote was offered for a limited time.

Yard waste is dropped off at a compost site managed by a Town Employee.  Unable t",
AYER,Pam Martin,2982,1600,1600,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,643,Yes,443,,,,,,,,,,,,450,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
BARNSTABLE,Robert Lovell,26343,9180,26343,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Recycling,,,,,,,,,,Yes,,9589,No,,,,1759,811,,660.73,102,2957,2242,,,1029,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Yes,4,No,No,,
BARRE,Faye Zukowski,2251,1525,1525,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Both,Yes,,,,,,,,,Yes,,1109,Yes,,,,215,154,,5,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,Our HHW event is open to all .,
BECKET,Leonard Tisdale Jr.,1748,1300,1300,Drop-off,,,Drop-off,,,,Drop-off,None,,,Both,Neither,Neither,Yes,,,,,,,,,,,455,Yes,,,,68,42,,47.3,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,Yes,3,Yes,Yes,,
BEDFORD,Gretchen Carey,5130,4336,4336,Curbside,Yes,48,Curbside,,,,None,Curbside,4,15,Both,Both,Neither,,Yes,1,48,,Yes,,,,,,4632,No,0,0,0,939,410,0,35,0,0,0,0,0,2000,Between 3 & 10,0,Once a Week,0,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"There are 8 HHWD events available to our residents: Bedford only hosts one, however.
Yard waste tonnage only given for pick up, not resident drop off. ( we do not have a system for gauging drop off tonnage).",
BELCHERTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELLINGHAM,Denis Fraine,5031,5031,5031,Curbside,Yes,64,Both,Yes,Yes,95,Curbside,Both,4,52,Both,Both,Neither,,,,,,,,,,,,5698,Yes,36,24,540,374,8,12.31,73.53,,3.67,,,,,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,0,0,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Yes,1,Yes,No,,
BELMONT,Judi,9930,9930,9930,Curbside,,,Curbside,,Yes,18,None,Both,37,7,Both,Both,Neither,,,,,,,,,,,Yes,7894,No,,,,1543,790,,35,,,,,,1245,0,0,Once a Week,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,8,Yes,No,,
BERKLEY,Scott A. Fournier,2118,927,927,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,1021,Yes,,,71,72,143,53.66,1.31,20,94.8,1.22,0.66,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Each month a non profit organization in town (Girl Scouts, Boy Scouts, Food Pantry etc.) signs up for cans and bottles in which they come in at the end of the day when the Recycling Station is open to pick up the cans and bottles so they can turn them in ",
BERLIN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERNARDSTON,Jan Ameen,780,625,625,Drop-off,,,Drop-off,,,,None,None,,,Neither,Neither,Neither,Yes,,,,,,,,,Yes,Yes,408,Yes,,,,94,70,,19,,,,,,,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,Yes,1,Yes,Yes,,
BEVERLY,Peter Seamans,16500,13170,13170,Curbside,,,Curbside,,Yes,64,None,Curbside,12,39,Both,Both,Both,,,,,,,,,,,Yes,12761,Yes,,,,2354,1217,,,,,,,,1500,1 or 2,1 or 2,Once a Month,1 or 2,Year Round,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,"Scavengers roam the community on the eve of our monthly ""White Goods"" collection and collect materials before our hauler can. Yard waste collection tonnage is extremely difficult to determine as trucks are not weighed nor drop-off materials estimated.",
BILLERICA,Steve,14651,13346,13346,Curbside,Yes,64,Curbside,,,,None,Curbside,10,,Both,Both,Neither,,Yes,1,64,Yes,Yes,,,,,Yes,13531,Yes,40,,65,2073,1335,,117,,,,,,1450,Between 3 & 10,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"In section 9, some items are available for every-other week collection, but no way to check that off. I listed these items as ""Year Round"" (Tires, TV's, electronics).

Oil based paint collected 1 time a year, latex paint collected weekly in trash as long ",
BLACKSTONE,WILLIAM T. WALSH,3400,3380,3380,Curbside,,,Both,,Yes,10,None,Drop-off,,52,Both,Recycling,Recycling,,Yes,3,30,Yes,,Yes,Yes,,Yes,,1892,No,0,280,950,1250,422,15,85,8.5,110,20,2,,100,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
BLANDFORD,Michael Wojcik,500,312,312,Drop-off,,,Drop-off,,Yes,24,Drop-off,Drop-off,,52,Both,Both,Both,,,,,,,Yes,Yes,,Yes,,177,No,,,,37,26,25.21,30,,,,1,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,We at tempt to take everything possible for recycling to keep our environment clean.  We also tell the residents to return as many used products as possible to the vendors when purchasing a new appliance etc.   The town is very proactive in recycling and ,
BOLTON,Shelly OToole,1741,1741,1741,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Both,Yes,,,,,,,,,,Yes,737,Yes,,26,100,158,64,,44.9,6.11,,8.81,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,12,Yes,No,"The Town of Bolton is a part of the Devens Regional Household Hazardous Products Collection Center.  This opened in July 2011 and provided access to 12 events July - December.  The ""Difficult to Manage"" items listed in the ""Between 3&10"" column are items ",
BOSTON,Susan Cascino,252699,252699,227762,Curbside,,,Both,Yes,Yes,64,None,Curbside,11,,Both,Recycling,Neither,,,,,,,Yes,Yes,,,Yes,199449,Yes,31504,,,,,,,,,,,,8918,Between 3 & 10,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,"Public Works collects from trash and recycling from fire houses, libraries, a couple muni bldgs, and 3 schools",
BOURNE,Phil Goddard,7656,7656,7656,Both,,,Both,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,5743,No,,437,605,110,147,,860,27,,71,,,3544,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,Yes,,
BOXBOROUGH,Thomas Garmon,1973,1081,1081,Drop-off,,,Drop-off,Yes,,,None,None,,,Both,Both,Neither,,,,,,,,,,,,1056,Yes,340,,,,,,,,,,,,,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
BOXFORD,Karen Sheridan,2359,2247,2359,Curbside,,,Both,,,,None,None,,,Both,Both,Recycling,Yes,,,,,,,,,,,1685,Yes,,,47,668,479,,50,2,,,,,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,1 or 2,Once a Month,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Yes,1,Yes,No,"Our HHW collection was part of a regional event. We accepted reciprocal vouchers from other towns,  as well as  non-residents who paid privately for this event. We do not give out reciprocal vouchers to our own residents.",
BOYLSTON,Dennis Costello,4200,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
BRAINTREE,Rosemary Nolan,10000,10000,10000,Both,,,Both,Yes,,,None,Both,10,36,Both,Both,Neither,,,,,,,,,,,Yes,12405,Yes,2326,,,,,,1,12,,,,,4126,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
BREWSTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROCKTON,Patrick Sullivan,31000,26009,26009,Curbside,,,Curbside,,,,None,Curbside,43,,Both,Recycling,Neither,Yes,,,,,,,,,Yes,Yes,25314,Yes,0,0,100,3125,1670,,226,25,,,,,6465,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"Paint products collected 6 days per week from April 1 thru October 31 each year.

Household hazardous waste week is third week of September each year, however, we will accept waste on a case by case basis all year and hold for Hazardous Waste Day in order",
BROOKFIELD,Lucinda Thompson,1200,525,525,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Both,Both,Both,Yes,,,,,,,,,Yes,,410,Yes,68,,,,,,14,8,,2,,,30,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,latex paint is dried up & disposed of year round. Oil base paint goes through our regional collection 1 x/year.,
BROOKLINE,Ed Gilbert,25605,13260,13260,Curbside,,,Curbside,Yes,Yes,65,None,Curbside,40,,Both,Both,Both,,,,,,,Yes,Yes,,,Yes,9368,No,5424,,,,,,70.11,15,,,,,2038.38,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Yes,26,No,Yes,"It was hard to fill out the DTM waste collection survey correctly part because we were limited on the amount of times for collection days. The true answer instead of once per week would have been Biweekly.

On question 4 the town does service a very small",
BUCKLAND,Jan Ameen,750,675,675,Drop-off,,,Drop-off,,,,None,None,,,Neither,Neither,Neither,Yes,,,,,,,,,,Yes,260,No,,,,77,46,,19.09,,,,,,,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
BURLINGTON,Teresa Keene,6890,6890,6890,Curbside,Yes,64,Curbside,,,,None,Curbside,16,,Both,Both,Neither,,,,,,,Yes,Yes,,,,6701,Yes,,,,1463,739,,,,,,,,,0,Once a Month,Once a Month,Once a Month,1 or 2,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,2,No,No,,
CAMBRIDGE,Randi Mail,44032,32103,43652,Curbside,,,Both,Yes,Yes,9564,Drop-off,Curbside,37,,Both,Both,Neither,,,,,,,,,,Yes,Yes,15756,Yes,9089,0,64,59,12,,137,141,,,,27,2002,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,No,No,,
CANTON,Philip Levreault,7146,7146,7146,Curbside,,,Curbside,Yes,,,None,Drop-off,,35,Both,Both,Neither,,Yes,5,32,,Yes,,,,,,7707,Yes,395,749,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
CARLISLE,Tim Goddard,1847,1647,1647,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,,,,,,,,,,Yes,,1874,Yes,,90,161,166,193,,97.17,,320.52,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLEMONT,Jan Ameen,570,550,550,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,Yes,Yes,179,No,,,,53,33,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
CHARLTON,Robin Craver,0,0,0,None,,,Drop-off,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,,
CHATHAM,Jeff Bremner,6594,4488,4488,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Recycling,Recycling,Recycling,,,,,,,,,,Yes,Yes,5436,Yes,0,170,252,136,301,4,218,44,250.66,250.66,250.66,,1250,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,"#8 - the tonnage for wood, mattresses, and carpet totaled 752 tons; we don't have a breakdown per item, therefore I divided the total tonnage equally among the items.",
CHELMSFORD,Jennifer Almeida,13400,13400,13400,Curbside,,,Curbside,Yes,,,None,None,,,Both,Both,Neither,,Yes,2,32,Yes,Yes,Yes,Yes,Yes,,Yes,11353,Yes,4038,,,,,,46,,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,9,Yes,No,"#7 Program elements: two 32-gallon barrel limit/1 burnable bulky item/week - any household trash in excess of the 2 barrels must be in official town overflow bags ($2/bag)
#9 Difficult to manage waste: year round fee-based curbside collection program thro",
CHELSEA,Joseph Foti,12214,9154,9222,Curbside,,,Curbside,Yes,,,None,Both,13,52,Both,Both,Neither,,,,,,,,,,,Yes,11562,Yes,772,,,,,,,,,,,,121.88,0,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,0,Between 3 & 10,Year Round,1 or 2,Year Round,Year Round,1 or 2,Yes,1,Yes,No,"8. Recycling - Other than sinle stream recycling, the city does not weigh any other materials.",
CHESHIRE,Sandy Totter,1367,1200,1200,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Neither,Both,Yes,,,,,,,,,,Yes,764,Yes,,,,86,34,,42,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHESTERFIELD,Eric Weiss,450,450,450,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,163,Yes,,,,46,20,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
CHICOPEE,barry brouillard,24400,18800,18800,Both,,,Both,Yes,Yes,95,None,Both,26,52,Recycling,Neither,Neither,,,,,,,Yes,Yes,,,,16665,No,3519,,,,,,,,,,,,3936.05,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
