Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2020,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Film,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2019?,How many events?,Regional,Reciprocal,,,,,,,,,,,,,,,
Arlington,Charlotte Milan,20311,20311,20311,Curbside,,,Curbside,Weekly,Yes,,,Drop-off,33,,Both,Both,Both,Neither,Yes,,,,Yes,,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,Yes,Yes,12090,Yes,,Yes,52,67.84,4964,,,,,4.5,30,61.84,,,,207,2564,63.61,,Year Round,0,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Between 6 & 11,0,Year Round,Year Round,Year Round,Year Round,Once a Month,< 6,Once a Month,Once a Month,Once a Month,,Once a Month,No,,,,,,,,,,,,,,,,,,
Ashburnham,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,Brendan McNeil,1144,230,230,Drop-off,,,Drop-off,,,,,None,,26,Both,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,Yes,88.78,Yes,,Yes,,120,,,,27.63,21.08,,15.02,3.93,,2.72,,,1.08,9.77,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Ashfield,Kathleen A. Casey,716,424,424,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Both,Both,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,291.54,No,56.89,Yes,,88,,,,98.74,75.58,,13.5,2.64,,,,,,3.06,,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Ashland,David S. Miller,6311,5941,5941,Curbside,,,Curbside,Weekly,Yes,Yes,95,None,16,,Both,Both,Neither,Neither,Yes,Yes,,,Yes,146,,,Yes,,,,,,,,,,,,,,,,,,,,,,2893.57,Yes,,No,12,73.23,1781.41,,,,,,,35,,,,,280.55,16.48,,< 6,0,< 6,< 6,Once a Month,Once a Month,Once a Month,0,< 6,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Once a Week,0,0,0,Between 6 & 11,Yes,1,No,Yes,,,,,,,,,,,,,,,
Athol,Duane Truehart,4670,1094,1094,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Both,Both,,,Yes,Yes,Yes,,60,20,Yes,,,,,,,,,,,,,,,,,,,,,,356.79,No,190.96,Yes,,90,,,,228.1,116.6,,22.01,27.74,,2.92,,,0.59,10.48,191,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,0,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
Attleboro,Jessica Santos,17750,14213,14213,Curbside,,,Curbside,Weekly,Yes,Yes,64,None,4,30,Both,Both,Neither,Neither,,Yes,,,,202.68,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19,,,,,,,,10186,Yes,,No,52,73,4135,,,,,,75.73,6.78,,,,,3122.5,104.74,,Year Round,Between 6 & 11,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Auburn,Amy Sullivan,7581,5134,5134,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,,40,Both,Both,Neither,Neither,,Yes,,,,241,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,15,,,,,,,Yes,4517,No,0,,,68.97,1399.45,,,,,,,,,,,,,,,Year Round,0,0,0,0,Year Round,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Avon,Kathleen Waldron,1445,1445,1445,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,0,35,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.91,No,130.56,Yes,40,0,532.49,,,,,,,11.53,,3.85,,,,11.02,,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,No,,,,,,,,,,,,,,,,,,
Ayer,Andrew Jackson,3251,1188,1188,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,Yes,Yes,Yes,,95,15,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,772.02,Yes,,Yes,,92.5,260.16,,66,,,24.84,109.26,39.39,,,,12.38,75,21.71,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Barnstable,Patrick Kelliher,25517,8600,11800,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,,Yes,,Yes,,250,,20,,,,,,,,,,,,,,,,,,,,Yes,,,8674.74,No,0,Yes,,60.71,0,49.87,570,910.05,578.88,,967.57,128.21,,88.11,,34.32,,65.08,2959,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,< 6,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,4,No,Yes,,,,,,,,,,,,,,,
Barre,Andrea Mastrototoro,2290,880,880,Drop-off,,,Drop-off,,,,,Drop-off,,52,Recycling,Neither,Both,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,674.43,Yes,,Yes,,,,,,152.9,,,63.76,,,,,2.92,,,76,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,< 6,Year Round,Year Round,< 6,< 6,< 6,0,Year Round,Year Round,Year Round,0,0,0,No,,,,,,,,,,,,,,,,,,
Becket,Christopher Bouchard,1779,1779,1779,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Both,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,,318.44,No,203.15,Yes,,92,,,,52.85,52.4,,14.77,,,5.94,,,,5.63,,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,Year Round,0,0,0,No,,,,,,,,,,,,,,,,,,
Bedford,Edward McGrath,5120,4508,4508,Curbside,Yes,48,Curbside,Weekly,Yes,Yes,64,None,4,35,Both,Both,Neither,Neither,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3927.9,Yes,,No,52,73.04,1368,,,,,,71.7,42.9,16.5,,,,1157.5,11.9,,Year Round,< 6,Year Round,Year Round,Between 6 & 11,Year Round,< 6,< 6,Between 6 & 11,Between 6 & 11,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,< 6,0,0,< 6,No,,,,,,,,,,,,,,,,,,
Belchertown,Steven Williams,7443,1818,1818,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,Yes,Yes,Yes,100,100,20,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,0,,,,,Yes,Yes,,1362,Yes,,Yes,,77.5,0,,,193.11,304.14,,86,4.2,,5.01,,,554.4,22.5,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,,Year Round,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Bellingham,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Mary Beth Calnan,9810,9810,9810,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,38,,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,6203,Yes,,No,52,69.54,2663.4,,25,,,,6.98,5.2,,,,,361.08,12,,Between 6 & 11,< 6,Once a Week,< 6,Between 6 & 11,Year Round,< 6,< 6,Between 6 & 11,Between 6 & 11,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,< 6,0,< 6,0,0,No,,,,,,,,,,,,,,,,,,
Berkley,Robert R. Rose,2835,1067,1067,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,40,,,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,0,,,,,Yes,Yes,,653.77,Yes,,Yes,,,,,96,49.16,140.49,33.47,70.51,,,1.18,,,,1.64,183,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Berlin,Susan Reguera,1256,860,860,Drop-off,,,Drop-off,,,,,None,,52,Trash,Neither,Neither,Neither,Yes,Yes,,,,135,,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,Yes,673,Yes,,Yes,,94,,36,69,,89,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Year Round,0,0,0,Year Round,0,0,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Bernardston,Jan Ameen,799,650,650,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Both,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,,,Yes,319.11,No,71.41,Yes,,79,,,,87.65,65.23,,28.88,1.56,,,,37,,3.39,,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,Year Round,< 6,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Beverly,Kerin Cotter,14000,12625,12625,Curbside,,,Curbside,Weekly,,,,None,12,51,Both,Both,Both,Neither,Yes,Yes,,,Yes,100,,,,Yes,2,32,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,11668.1,Yes,,No,52,67,,,,1969.1,1612.8,,8.75,82.71,,,,225.65,900,10.25,,< 6,< 6,Between 6 & 11,< 6,Year Round,Year Round,< 6,< 6,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,0,Year Round,0,< 6,Yes,1,No,Yes,,,,,,,,,,,,,,,
Billerica,Stephen Robertson,15207,13567,13567,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,10,0,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,12617,Yes,,Yes,,71.75,4081,,,,,,303,,,,,,767.5,30,,Year Round,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Once a Week,Once a Week,< 6,Once a Month,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,< 6,0,0,0,0,Yes,2,No,No,,,,,,,,,,,,,,,
Blackstone,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blandford,Frank Lucia,598,300,300,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Both,Neither,Yes,Yes,,,,85,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,7,,,,,,,,37.49,Yes,,Yes,,,,5.46,29,5.71,24.89,,19.17,,155.12,,,,,280.48,,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Bolton,Leslie Caisse,2130,2130,2130,Drop-off,,,Drop-off,,,,,None,,0,Both,Both,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,683.64,Yes,,Yes,,83,6.51,17.39,102,85.09,81.53,21.2,44.37,10.75,,,,,,17.97,,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,< 6,0,Year Round,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Boston,Brian Coughlin,310800,260000,260000,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,19,12,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,Yes,188113,Yes,,No,,92,37050,,,,,,3690,3.25,,,,,1110.51,358,,< 6,< 6,Once a Week,Once a Week,Between 6 & 11,Between 6 & 11,< 6,< 6,< 6,< 6,Year Round,Between 6 & 11,< 6,< 6,< 6,< 6,< 6,0,0,Between 6 & 11,0,Year Round,0,< 6,Yes,4,No,No,,,,,,,,,,,,,,,
Bourne,Phil Goddard,8135,8135,8135,Both,Yes,96,Both,Weekly,Yes,Yes,96,None,,52,Both,Both,Recycling,Both,,,Yes,,,,30,,,Yes,1,96,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,5674.7,No,2148.57,Yes,,,5646.89,,412,,,,1031.44,43.68,,47.4,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,Yes,Yes,,,,,,,,,,,,,,,
Boxborough,Vicki Rzasa,2015,969,969,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,,,150,,,,,,,,,,,,,,,,,,,,,,,,710.52,No,0,No,,73,308.02,,,,,,,2.29,169.55,3.58,,,,11.14,,Year Round,0,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Boxford,Karen Sheridan,2753,2591,2753,Curbside,,,Both,Weekly,Yes,,,None,,30,Both,Both,Recycling,Recycling,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,1725,No,93,Yes,,80,990,,,,,,59,16,,,,,,18,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,Once a Week,< 6,Once a Month,0,< 6,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Year Round,Once a Week,0,Once a Week,0,Once a Week,Yes,1,No,Yes,,,,,,,,,,,,,,,
Boylston,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Nolan,12300,10619,10373,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,13,40,Both,Both,Neither,Neither,,Yes,,,,150,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,30,,,,,,,Yes,11442.61,Yes,,No,104,24,3215.34,,,,,49.83,171,26.05,,,,,4050,3.51,,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,Year Round,< 6,0,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,Year Round,Year Round,Year Round,,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
