Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Arlington,Charlotte Milan,20311,20181,20181,Curbside,,,Curbside,Weekly,Yes,,,None,35,,Both,Both,Both,Neither,Yes,,,Yes,,,,Yes,3,32,Yes,Yes,No,Yes,Yes,Yes,No,,,,Yes,12868,Yes,,No,74,5448,,,,,,,,,,,,3601,72,Year Round,Once a Week,Year Round,Year Round,Between 3 & 10,0,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,,No,,,,"Question 2- we collect almost all apartment and condo complexes, but not all. The answer choices make that difficult to communicate.Question 4- about 100 Arlington small businesses actively participate in a PAYT commercial bag program, and recycling is offered to those participants free of charge. This tonnage is included in our municipal trash and recycling numbers.Question 9- Oil-based paint is collected at HHW collection events, Latex is not collected. The answer choices make it difficult to accurately answer this question in the form.",
Ashburnham,Mary Calandrella,2509,800,800,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Both,Neither,,,Yes,Yes,,3,Yes,,,,,,,,,,,Yes,,,,100,Yes,,No,,,,,,48,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,Year Round,Year Round,Year Round,,Yes,1,No,No,,
Ashby,John J. Pankosky,1133,200,200,Drop-off,,,Drop-off,,,,,None,,,Recycling,Neither,Both,Recycling,,,Yes,Yes,,4,Yes,,,,,,,,,,,Yes,,Yes,Yes,65,Yes,,Yes,110,,,,30,28,3,0,,,,,,,0,Year Round,Year Round,Year Round,Year Round,Once a Week,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,,No,,,,"Items indicated as collected year round are collected the 2nd & 4th Saturday of each month that the Ashby Recycle Center & Transfer Station are open. There are no tonnages for scrap metal or e-waste, as we didn't have them hauled in CY2014.",
Ashfield,Kathleen Casey,725,700,700,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,40,,Yes,,,,,,,Yes,,Yes,No,,,,Yes,336,No,62,Yes,71,,,,117,83,,25,5,,,,,,6,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Ashland,DAVID S. MILLER,6094,5567,5567,Curbside,,,Curbside,Weekly,Yes,,,None,16,,Neither,Neither,Neither,Neither,,Yes,,Yes,146,,Yes,,,,,,,,,,,,,,,3476,Yes,,No,69,1287,,,,,,,,,,,,186,17,0,0,Between 3 & 10,Between 3 & 10,Once a Month,,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,0,0,Yes,1,No,Yes,,
Athol,Larry Adams,4000,1100,1100,Drop-off,,,Drop-off,,,,,None,,,Recycling,Neither,Both,Both,,Yes,,Yes,35,,Yes,,,,,,,,,,,,,,Yes,483,No,332,Yes,77,,,,316,134,,33,6,,,,,,18,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,No,We also service private commercial haulers that provide curbside recycling and trash pickup to local residents and non-Athol residents in neighboring communities. The private haulers account for an additional 1393 tons of trash collected. A portion of the tonnage reported in question #8 is generated from the private haulers.,
Attleboro,Cheryl Perry,16526,13971,13971,Curbside,,,Both,Weekly,Yes,Yes,64,None,4,40,Both,Both,Neither,Neither,,Yes,,Yes,184,,Yes,,,,,,,Yes,Yes,Yes,No,Yes,,,Yes,9235,Yes,,No,75,4637,,39,,,,47,2,,,,,4654,109,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,0,Year Round,Year Round,0,Yes,1,No,No,,
Auburn,Amy Sullivan,7502,5027,5027,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,10,36,Both,Both,Neither,Neither,,Yes,,,216,,,Yes,1,64,,Yes,,,,,,,,,Yes,3980,No,0,Yes,64,1304,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,No,No,Household Hazardous Waste Days are held every two years. Annual town wide spring cleanup is held on the alternate years (includes recycling).,
Avon,Tara Tradd,1754,1754,1754,Curbside,Yes,64,Curbside,Bi-weekly,Yes,,,None,2,32,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,1852,No,60,Yes,,300,,,,,,,8,,,,,,6,1 or 2,1 or 2,Year Round,Year Round,Year Round,,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,Yes,No,Frequently residents are referred to recycling facilities in Brockton.,
Ayer,Andrew Jackson,3057,1279,1279,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,Yes,Yes,80,10,Yes,,,,,,,,,,,,Yes,,Yes,773,Yes,,Yes,68,316,,39,,,13,60,4,5,,,,80,4,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,,No,,,,"Current PAYT program uses bags. Tags were originally sold and still accepted, but no longer sold. Bulky items are paid with purchased stickers that are issued in $5 segments. Stickers are applied to items based on a fee schedule posted in various locations, including the town website: http://www.ayer.ma.us/Pages/AyerMA_DPW/AyerMA_Transfer/FY15%20Transfer%20Station%20Fees.pdf",
Barnstable,Robert Lovell,47000,12000,13600,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,,Yes,Yes,,210,15,,,,,,,,,,,,,Yes,,,9245,No,1,Yes,55,2521,,,,,,765,44,2610,48,,,1045,99,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Yes,4,Yes,Yes,January 2015 facility introduced single stream recycling.,
Barre,Andrea Mastrototoro,2254,1525,1525,Drop-off,,,Drop-off,,,,,None,,52,Neither,Neither,Both,Neither,,,,Yes,,,Yes,,,,,,,,,,,,,,,727,Yes,,Yes,,,,,132,96,,42,,,,,,,15,1 or 2,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,0,,Yes,1,Yes,No,,
Becket,Christopher J. Bouchard,1779,1779,1779,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Both,Yes,Yes,,Yes,40,,Yes,,,,,,,Yes,,Yes,No,,,,Yes,322,No,126,Yes,76,,,,56,43,,31,2,,,,,,6,0,Year Round,Year Round,Year Round,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,,No,,,,,
Bedford,Edward McGrath,5400,4502,4502,Curbside,Yes,48,Curbside,Weekly,,,,None,4,21,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,3920,Yes,,No,65,,,,968,551,0,29,0,0,0,0,0,320,5,0,0,1 or 2,1 or 2,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,No,,,,,
Belchertown,Steven J. Williams,6529,1584,1584,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Neither,,Yes,,Yes,100,,Yes,,,,,,,Yes,,Yes,No,,,Yes,,595,No,169,Yes,61,,,,308,158,,50,4,,,,,593,15,Year Round,Year Round,Year Round,Year Round,Year Round,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Bellingham,Denis C. Fraine,6022,5222,5275,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,94,None,2,52,Both,Both,Neither,Neither,,Yes,,,340,,,Yes,1,64,Yes,,No,,,,,,,,,4400,No,0,No,65,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,0,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Yes,1,No,Yes,,
Belmont,Mary Beth Calnan,9958,9917,9917,Curbside,,,Curbside,Bi-weekly,,,,None,36,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,7545,Yes,,No,74,,,,1524,771,2,5,2,,,,,3595,27,Between 3 & 10,0,Year Round,1 or 2,Year Round,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,,Yes,8,Yes,No,,
BERKLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Paul Mikelk,1180,966,966,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Both,Neither,Yes,Yes,,,125,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,712,Yes,,Yes,86,,53,57,,72,,20,6,,,,,30,1,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,,No,,,,All yard waste is composted and used by town highway dept. mied paper is comingled with newspaper..,
Bernardston,Jan Ameen,805,650,650,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,321,No,38,Yes,74,,,,96,68,,17,4,,,,,,4,Year Round,0,Year Round,Year Round,Once a Month,,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,0,0,Year Round,0,No,,,,,
Beverly,Robert Dever,13170,13170,13170,Curbside,,,Curbside,Weekly,,Yes,65,None,13,,Both,Both,Both,Neither,,Yes,,,100,,,Yes,5,35,Yes,Yes,No,,,,,,,,,11714,Yes,,No,,,,,2259,1567,,,,,,,,,,0,0,Once a Month,1 or 2,Year Round,,0,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,Yes,1,Yes,Yes,,
Billerica,Stephen Robertson,14682,13377,13377,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,12,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,No,,,,Yes,12245,Yes,,No,74,4035,,,,,,94,,,,,,1030,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,,Year Round,Once a Month,Once a Month,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,Yes,1,No,No,"We collect some apartments and some condos, but not all (depends on how units were created or if they recycle - no way to answer options in that way).Oil based paint collected once a year, latex paint collected weekly (if dry).",
Blackstone,William T. Walsh,3463,3463,3463,Both,,,Both,Bi-weekly,,Yes,24,None,,40,Both,Both,Recycling,Recycling,Yes,,,,,,,Yes,3,32,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,1976,No,0,Yes,76,600,0,1200,1500,600,30,75,30,50,25,6,0,125,30,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,No,No,,
BLANDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Shelly OToole,1804,1804,1804,Drop-off,,,Drop-off,,,,,None,,3,Both,Neither,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,Yes,,Yes,Yes,747,Yes,,No,75,,29,82,131,114,,33,6,,,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,Year Round,,No,,,,Households with senior citizens receive 40 free 30gallon stickers per year. These are the only residents who receive this PAYT benefit.,
Boston,Brian Coughlin,287000,287000,287000,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,17,,Recycling,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,191000,No,0,No,67,35465,,,,,,7234,,,,,,7457,486,Between 3 & 10,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,0,,Yes,4,Yes,No,"Public Works collects trash and recyclables from Boston Fire Houses as well as Boston Public Libraries. They also collect recyclables from Boston Public Schools and some municipal buildings.The revenue/cost per ton value changes on a month to month basis, depending on the commodity price given to the city by the processor..",
Bourne,Phil Goddard,8026,8026,8026,Both,,,Both,Weekly,,,,None,,52,Both,Both,Recycling,Both,,Yes,,,30,,,,,,,,,,,,,,Yes,,Yes,5527,No,1280,Yes,,,310,574,115,819,,866,26,,,,,3406,152,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,Yes,Yes,"Our facility is an Enterprise Fund and does not use real estate taxes to fund its operations. There is an annual sticker for the recycling center, but that does not cover the cost of curbside collection, nor is it adequate to cover costs for the recycling center. I therefore said fees fund our program, but that is only a tiny fraction of our revenue. Gate fees are our main source of revenue. The recycling center fees are $30 for a sticker with $20 for seniors and $10 for a replacement sticker. Plus, there are fees for certain items once an allotment of free bulky items stickers are used. More information can be found on our web page at townofbourne.com.We do accept recyclables from businesses and some condos we pick up from, but MSW is limited to the town of Falmouth through their contract with us for their residential curbside collection program. Therefore, as we have switched to accepting almost all municipal waste combustor ash, and don't take commercial hauler business MSW anymore, the listing under the Municipal program has changed. We also take MSW from our own curbside collection program. The number of households has been refined to reflect the small amount of multi-family units we collect from and a trailer park as of the date of the attached form. Our paint shed is open seasonally from April - May on Fridays and Saturdays. Bulky waste and MSW are disposed of in our landfill at no charge..",
Boxborough,Thomas Garmon,1988,970,970,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,,Yes,,,150,,,,,,,,,,,,,,,,,772,No,149,Yes,74,343,,,,,,64,,,,,,,12,Year Round,0,Year Round,Year Round,1 or 2,,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,,Yes,1,No,No,"Polystyrene is placed in the solid waste containers.We do not accept yard waste at all.Our rigid plastics, wood, mattresses, and carpet are not separately tracked.We pay .07 cents for each monitor. Of the 12 tons of e-waste, a quantity of 2677 monitors were collected.Of the 64 tons of metal/appliances, 57 tons were scrap metal. We received an average of $50 per ton rebated on hauling fees.",
Boxford,KAREN SHERIDAN,3144,2955,3144,Curbside,,,Both,Weekly,,,,None,,30,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,Yes,5,32,,Yes,,,,,,,,,,1609,No,95,Yes,,,,66,548,494,,58,3,,,,,,19,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,,Once a Week,1 or 2,Once a Month,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,0,Yes,1,Yes,Yes,Boxford residents can drop off yard waste in the contiguous town of Topsfield with the payment of $5 composting fee per drop for 30 weeks a year.,
Boylston,Melanie Rich,2009,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,,0,No,0,No,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Yes,4,Yes,No,Boylston is part of the Wachusett Earth Day Recycling Center.We are a private subscription community.,
Braintree,Rosemary Nolan,12000,10200,10200,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,11,42,Both,Both,Neither,Neither,Yes,Yes,,,150,,,Yes,1,64,,Yes,,Yes,,Yes,Yes,,,,Yes,10340,Yes,,No,24,3730,,,,,,14,4,4,,6,,3360,10,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Yes,2,No,No,,
Brewster,James Jones,7673,3869,3869,Drop-off,,,Drop-off,,,,,None,,36,Recycling,Neither,Recycling,Both,Yes,Yes,Yes,Yes,45,10,,,,,,,,,,,,,Yes,,Yes,1311,No,439,Yes,70,0,0,72,511,153,0,320,38,439,0,0,0,9000,270,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,No,,,,"Our paint recycling is actually 8 months. We close our paint shed in Nov. depending on temps and re-open in April.Mixed glass cost to the Town was $4,722.75 (188.91 tons0Wood tonnage/cost includes carpet and mattresses",
Bridgewater,Lisa Sullivan,9371,2000,2000,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,Yes,30,,Yes,,,,,,,,,,,,,,,2000,Yes,,Yes,65,,,,339,148,,,,,,,,,,Year Round,Year Round,Year Round,0,Year Round,,Year Round,0,0,Year Round,0,0,0,Year Round,0,Year Round,0,Year Round,,No,,,,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
