Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Bedford,Ed McGrath,4196,4196,4196,Curbside,Yes,48,Curbside,Weekly,,,,None,4,35,Both,Both,Neither,Neither,Yes,,,Yes,,,,Yes,1,48,Yes,,No,,,,,,,,,Yes,3952.3,Yes,,No,69,,,,933.01,574.42,0.72,73.93,,,,,,285,4.9,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,1 or 2,,1 or 2,No,,,,"We collected 7.1 tons of residential C&D at Oct. 3 Collection Event and 37 tons of C&D that was ""dumped"" at the DPW yard. Scrap Metal includes - 53.89 tons (1.83 at May 30 event from residents, remainder from DPW facilities). Batteries 1.51 tons (from residents and Bedford facilities). Tires .95 tons (residents, DPW).",,
Belchertown,Steve Williams,6696,1620,1620,Drop-off,,,Drop-off,,Yes,,,None,,52,Recycling,Neither,Neither,Neither,,Yes,,Yes,100,,Yes,,,,,,,,,,,,,,Yes,,720.55,Yes,,Yes,62,573.2,,,,,,58.98,3.93,,2.5,,720.55,112.48,14.95,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,Yes,1,No,Yes,,,
BELLINGHAM,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Mary Beth Calnan,9958,9917,9917,Curbside,,,Curbside,Bi-weekly,,,,None,38,7,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,7315,Yes,,No,63,17,,26,1231,723,1.98,4,2.69,,,,,3595,35,Between 3 & 10,0,Once a Week,1 or 2,Year Round,Year Round,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,,1 or 2,No,,,,,,
BERKLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Paul Mikelk,1190,972,972,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Both,Neither,Yes,Yes,,,140,,,,,,,,,Yes,Yes,,Yes,18,Yes,Yes,,Yes,705,Yes,,No,85.5,,,63,,75,,15,7,,,,,,1.12,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,,Year Round,Yes,1,No,No,,,
Bernardston,Jan Ameen,801,650,650,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Both,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,337.39,No,40.19,Yes,68,,,,89.53,69.06,,19.78,2.6,,,,,,7.5,Year Round,0,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,0,0,Year Round,0,Year Round,No,,,,,,
Beverly,Robert Dever,13170,13170,13170,Curbside,,,Curbside,Weekly,,Yes,65,None,13,37,Both,Both,Both,Neither,,Yes,,,100,,,Yes,5,35,Yes,Yes,No,,,,,,,,,,11620.2,Yes,,No,,,,,2107.4,1681.2,,,,,,,,,,0,0,Once a Month,1 or 2,Year Round,Year Round,0,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,1 or 2,Yes,1,Yes,Yes,Our compost site (drop off for residents) opened approximately 4 weeks late in 2015 due to late and heavy snow cover.,,
Billerica,Stephen Robertson,14711,13406,13406,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,11,5,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,Yes,No,,,,,Yes,12318,Yes,,No,65,4110,,,,,,117,,,,,,1438,22,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Month,Year Round,Year Round,Once a Month,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,0,0,Yes,1,No,No,"Apartments/Condos services are all eligible (non-40B) excluding complexes that choose not to be a part of program. Not determined by # units.Drop off for yard waste (5 weeks) is only for Christmas Trees. No other yard waste may be dropped off.We get quantities for white goods and E-waste in # units combined. All tonnages are estimated (40% E waste at 50# EA, 60% white goods at 175# EA).Latex paint accepted in regular trash as long as hard. Oil based paint accepted only at HHW event.",,
Blackstone,William T. Walsh,3493,3493,3493,Both,,,Both,Bi-weekly,,Yes,24,None,,40,Both,Both,Recycling,Recycling,Yes,,,,,,,Yes,2,32,Yes,,Yes,Yes,Yes,,Yes,3,Yes,Yes,Yes,,2115,No,0,Yes,64,400,0,1100,1200,300,20,50,30,20,25,6,0,75,35,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,
BLANDFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Leslie Caisse,1815,1815,1815,Drop-off,,,Drop-off,,,,,None,,3,Both,Neither,Both,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,Yes,732.67,Yes,,No,80,,22.01,88.78,133.05,56.87,,52.13,0.99,,,,,,14.29,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,Year Round,,Year Round,No,,,,Households with senior citizens receive 40 free 30 gallon stickers per year. These are the only residents who receive this PAYT benefit,,
Boston,Brian Coughlin,284731,284731,284000,Curbside,,,Curbside,Weekly,Yes,Yes,64,Drop-off,17,,Neither,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,188071,Yes,,No,68,35103,,,,,,,,,,,,10441,454.74,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,0,Between 3 & 10,,Year Round,Yes,5,Yes,No,,,
Bourne,Phil Goddard,8049,8049,8049,Both,,,Both,Weekly,,,,None,,52,Both,Both,Recycling,Both,,Yes,,,30,,,,,,,,,,,,,,,Yes,,Yes,6030,No,3820,Yes,,3138,194,1036,65,524.04,,732,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Yes,1,Yes,Yes,We transitioned our baling facility to become a regional single stream recyclables transfer facility. As a result we have been taking in commercial single stream recyclables as well as tonnage from Falmouth. See other notes as written in 2014.,,
Boxborough,Thomas Garmon,1997,974,970,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,,Yes,,,150,,,,,,,,,,,,,,,,,,795,No,153,Yes,60.6,349,,,,,,49.2,,153.43,,,,,3.75,Year Round,0,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,,Year Round,No,,,,Our tipping fee was $74 per ton from Jan. 2015 thru June 2015. The rest of the year was $60.60,,
Boxford,Karen Sheridan,3146,2961,3146,Both,,,Both,Weekly,,,,None,,30,Both,Both,Recycling,Neither,Yes,,,Yes,,,Yes,Yes,5,32,,Yes,,,,,,,,,,,1703,No,87,Yes,,,,54,567,487,,58,5,,,,,,21,Once a Week,Once a Week,Once a Week,Once a Week,Once a Month,Once a Week,Once a Week,1 or 2,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,0,Once a Week,Yes,1,Yes,Yes,"Our drop off for composting grass, leaves, brush is in our contiguous neighboring Town of Topsfield.We do receive income from collecting books: 3 tons @ $67/ton for total of $200.00Our costs for curbside recycling is included in the total trash and recycling contract for collection,hauling and recycling with JRM. The recycling costs are not broken out separately.",,
Boylston,Melanie Rich,2009,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,Yes,,,0,No,0,No,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,Yes,4,Yes,No,Boylston is part of the Wachusett Earth Day Recycling Center.,,
Braintree,Rosemary Nolan,12000,10200,12000,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,20,42,Both,Both,Neither,Neither,Yes,Yes,,,150,,,,,,,,,Yes,Yes,Yes,Yes,25,,,,Yes,10809,Yes,,No,24.5,3132,,,,,,,9.28,,,,,3462,9.75,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,0,Year Round,Yes,2,No,No,"Book collection was added recently to Recycling Center. In April, Braintree will add rigid plastics via drop-off, year round at Recycling Center.",,
Brewster,James Jones,7451,3815,3815,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Both,Yes,Yes,Yes,Yes,45,10,Yes,,,,,,,,,,,,,Yes,Yes,Yes,1240.43,No,510.8,Yes,61.5,0,0,21.46,507.92,144.55,,58,16.77,300,0.55,1,,910,29,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,No,,,,Medical waste/sharps are encouraged to be brought to F.D. for recycling. We encourage oil based / latex paints to be brought to HW events. We have paint shed for recycling. All recyclable batteries go through our Barnstable county Program. We have magazine / book swap rack for public before being recycled. Book and clothing bins at our Swap Shop as well as T.S. We do not have food waste program as of yet but are researching thru Recycling Commission for Schools and possibly T.S. A fee schedule is on the towns website. Town of Brewster.gov,,
BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J Patrick Sullivan,31000,26100,26100,Curbside,,,Both,Weekly,,,,None,43,,Both,Neither,Neither,Neither,,Yes,,Yes,280,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,25986,Yes,,No,,282,0,0,2539,1725,2,300,15,,,,,6103,219.91,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,Yes,1,No,No,"Paint Swap and Paint Collection offered April 1 through October 31, six days per week. 6-Family homes and above not eligible for municipal trash pickup but may use Recycle Center free of charge. Trash program - First 32 gallon barrel/unit/week included in fee. Additional trash must be in PAYT Bags. Trash fee also includes unlimited recycling and yard waste as well as 1 large item and 1 tv or appliance per week.",,
