Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Recycling Service Type,Yard Waste Service Type,Food Waste Service Type,Curbside yard waste       # weeks collected ,Drop-off yard waste # days drop off center open ,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Trash Disposal Tonnage ,Single Stream Recyclables,Mixed Paper (dual stream),Commingled Containers (dual stream),Newspaper,Cardboard,Steel/tin Cans,Aluminum,Glass,Plastic,Scrap Metal/ White Goods,Textiles/ Used Clothing,C&D Materials,Swap Shop or Book Reuse,Other Materials,Auto Batteries,Household Batteries (including button batteries),Tires,Used Oil,Used Oil Filters,Antifreeze,Computers/ Electronics,Propane Tanks,Latex/Oil based Paint,Fluorescent Lamps/ CFLs,Thermostats,Thermometers,Flow Meters,Mercury Switches,Elemental Mercury,# comprehensive hazardous product collection events ,Regional Program,Reciprocal Program,Comments/Additional Information,,
Arlington,Ruth Yannetti,22607,22607,22607,Curbside,Curbside,Curbside,None,36,0,Both,Both,Both,15166.78,4300.59,0,0,0,0,0,1,0,0,1.5,1,0,1,0,3 to 10,Year Round,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,Year Round,3 to 10,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,8,Y,N,"Oil based paint is collected at the Lexington Hazardous waste facility 8 x year.  Water based paint is collected curbside on a 52 week basis.  Books, textiles, scrape metal, clothing, aluminum cans and electronics are collected 2X at the DPW yard drop off collection.",,
ASHBURNHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashby,John J. Pankosky,1114,200,200,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,72.75,0,40.09,18.46,0,0,0,0,14.71,0,0,0,0,0.5,0,12,12,12,52,0,52,12,12,0,12,12,0,0,0,0,0,N,N,Ashby Recycle Center & Transfer Station is open the 2nd & 4th Saturday of the month from 9 am to 1 pm.  Used oil and antifreeze is collected at the Fire Station Sunday mornings.,,
Ashfield,Eric Weiss,740,650,650,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,381.96,0,103.43,82.54,0,0,0,0,0,0,36.9,14,0,0,19.83,,1 to 2,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Ashfield is part of the Hilltown Resource Management Cooperative,,
Ashland,David S. Miller,6066,5933,5933,Curbside,Curbside,Curbside,None,12,0,Neither,Neither,Neither,3374.74,1556.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,1 to 2,3 to 10,0,12,12,12,12,12,12,12,1,N,Y,,,
ATHOL,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attleboro,Cheryl Perry,17164,13855,13855,Curbside,Both,Both,None,4,196,Trash,Trash,Recycling,9836,4321,0,0,0,20,0,0,0,0,485,0,0,0,89,52,Year Round,52,3 to 10,3 to 10,3 to 10,Year Round,52,3 to 10,52,Year Round,Year Round,Year Round,52,1 to 2,9,N,N,,,
Auburn,Amy Sullivan,7228,4985,4985,Curbside,Curbside,Both,None,10,84,Both,Both,Neither,4715,1095,72,37,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,0,1 to 2,0,1 to 2,0,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,A portion of funding for a one-time household hazardous waste day was provided by hauling contractor as required in trash/recycling contract.,,
AVON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer,Daniel Nason,2660,1818,1545,Drop off,Drop off,Drop off,None,0,156,Neither,Neither,Neither,805,264,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,0,N,N,Single stream recycling commenced July 2010. Data prior to July 2010 is unavailable.  The reported tonnage is based upon a full year's projected average using the single stream data from July 2010 through Decenber 2010.    The Town is entering into a regional House Hold Hazardous Waste colleciton program in Devens.  This faciltiy should be fully operational Spring 2011.,,
Barnstable,Robert Canevazzi,23247,9151,9151,Drop off,Drop off,Drop off,None,0,352,Recycling,Recycling,Recycling,12564,0,1813,266,0,0,0,40,455,0,737,99,3032,46,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Barre,Stephanie Bacon,2254,1525,1525,Drop off,Drop off,Drop off,None,,24,both,both,both,500,,170.42,137.24,,,112.33,,,,,,,,,1 or 2,1 or 2,monthly,monthly,weekly,1 or 2,weekly,weekly,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1,no,no,,,
Becket,Jamie Cahillane,692,692,692,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,302,0,65.1,41.8,0,0,0,0,0,0,31.9,0,129.4,0,3,Year Round,Year Round,Year Round,0,0,0,Year Round,0,0,Year Round,Year Round,Year Round,0,0,0,2,Y,N,C&D and Bulky are combined.,,
Bedford,April Delano,4836,4336,4336,Curbside,Curbside,Both,None,4,15,Both,Both,Neither,4716,0,944,391,0,0,0,0,0,0,45,0,0,0,0,3 to 10,52,3 to 10,3 to 10,3 to 10,3 to 10,52,3 to 10,0,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,8,Y,N,,,
Belchertown,Steven J. Williams,6572,1647,1647,Drop off,Drop off,Drop off,None,0,246,Neither,Neither,Neither,772,439,0,0,0,0,0,0,0,0,63,12,0,0,17,0,Year Round,Year Round,Year Round,0,1 to 2,Year Round,0,1 to 2,Year Round,Year Round,Year Round,0,Year Round,0,1,N,N,Other Recyclables represents our electronics collection.,,
Bellingham,Denis Fraine,5031,5031,5031,Curbside,Both,Both,Curbside,4,89,Recycling,Recycling,Neither,6372,0,525,398,29,0,0.4,0,12,8,0,0,0,0,0,52,1 to 2,52,1 to 2,1 to 2,1 to 2,52,52,52,52,52,1 to 2,,52,,,,Y,,,
Belmont,Judi Carmody,10802,9958,9958,Curbside,Curbside,Both,Curbside,36,40,Both,Both,Neither,8353,0,1512,841,0,0,0,0,0,0,23,0,0,0,1224,3 to 10,Year Round,Year Round,Year Round,Year Round,3 to 10,52,3 to 10,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,8,Y,N,Other materials - Yard Waste tonnage,,
Berkley,Scott A Fournier,2118,895,895,Drop off,Drop off,Drop off,Drop off,0,104,Trash,Trash,Trash,522,0,54,0,31,71,30,0,33,25,32,20,108,20,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
BERLIN,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardston,Jan Ameen,780,624,624,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,376,0,100,66,0,0,0,0,0,0,17,0,0,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,1,Y,Y,,,
Beverly,Peter Seamans,15448,13172,13172,Curbside,Curbside,Both,None,12,250,Both,Both,Both,13056.15,0,2523.96,1247.38,0,0,0,0,0,0,0,0,0,0,0,1 to 2,0,1 to 2,Year Round,0,1 to 2,1 to 2,1 to 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,Y,,,
Billerica,Mary Delahanty,14640,13335,13335,Curbside,Curbside,Curbside,None,10,0,Both,Both,Neither,13490,0,2151,1259,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,12,12,1 to 2,0,0,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,"Latex paint, if dried can go in the trash (year round) Oil base paint is collected at the annual Household Hazardous  Waste drop off, open to Billerica residents",,
Blackstone,William T. Walsh,3400,3400,3400,Curbside,Curbside,Drop off,Curbside,0,120,Recycling,Recycling,Recycling,2100,0,1100,0,200,600,10,6,50,350,65,4.5,86,12,4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,N,N,"We are scheduled to sponsor a regional hazardous waste day in the Fall of 2011.  Blackstone picks up curbside recycling and bales all product for resale for our residential, commercial and school districts.",,
BLANDFORD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolton,Shelly O'Toole,1741,1741,1741,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,745,0,145,55,38,81,0,0,70,0,4,5,6,6,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,,,The Bolton is a hoping to become a member community of the Devens Regional Household Hazardous Products Collection Program.  This is expected to begin this spring and will offer our residents 20 hazardous product collection days per year.,,
Boston,Susan Cascino,255157,255157,232723,Curbside,Curbside,Curbside,Drop off,11,16,Neither,Neither,Both,202000,29000,623,0,0,265,0,0,0,0,4000,0,0,4,12372,3 to 10,3 to 10,3 to 10,12,3 to 10,3 to 10,Year Round,3 to 10,12,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,4,N,N,The 12 hazardous waste collections is the paint sites that are open saturdays May-Aug.  the food waste is Haymarket.,,
Bourne,Phil Goddard,8765,7642,8765,Both,Both,Drop off,None,0,316,Both,Both,Recycling,6041,0,149.56,0,807.61,792.55,42.23,7.74,67.29,189.1,907.46,26.09,13147.84,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,4,Y,N,,,
Boxborough,Thomas Garmon,1964,1290,1290,Drop off,Drop off,None,None,0,0,Both,Both,Neither,1084,338,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,0,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Boxford,Karen Sheridan,2747,2514,2747,Curbside,Both,Drop off,None,0,33,Both,Both,Recycling,1750,0,817,476,0,39,0,0,0,0,67,2,0,4,0,52,52,52,12,12,3 to 10,52,52,3 to 10,52,52,52,52,52,52,11,Y,Y,#5 Yard Waste Collection: drop off is in neighboring Topsfield through mutual agreement between towns.,,
BOYLSTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,Rosemary Noaln,10000,9875,9875,Both,Both,Both,None,8,200,Both,Both,Neither,12951,2373,0,0,0,0,0,0,0,0,183,4,0,0,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,3 to 10,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Brewster,"Robert Bersin, Pe",8963,7575,4072,Drop off,Drop off,Drop off,None,0,206,Neither,Neither,Neither,4086,0,433,67,0,22,0,0,185,0,71,44,461,2,35,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,6,Y,Y,"Several items in #3 are blank as the material is included in comingled/mixed categories.  Other materials in #3 includes ash, propane tanks, and electronics/computers.  We also diverted 1122 T of Compostables/Organics.",,
BRIDGEWATER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIMFIELD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J. Patrick Sullivan,33000,28500,28500,Curbside,Both,Curbside,Curbside,42,0,Recycling,Recycling,Neither,25011,0,2983,1601,0,0,0,0,0,0,114,10,0,5,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,N,"Paint Swap Open & Paint collected daily 4/1 thru 10/31 - 6 days per week. Hazardous (pool chemicals, poisons, fertilizers)  are stored in locked container at recycle center for HHW Week if they cannot be reused.",,
Brookfield,Michael P. Seery,916,539,539,Drop off,Drop off,Drop off,Drop off,0,52,Recycling,Recycling,Neither,444,0,0,75,0,57,0,0,0,0,18,0,92,0,0,52,52,52,52,0,52,52,52,52,52,0,0,0,0,52,1,Y,Y,We have one hazardous waste production collection with a neighboring town yearly. We are now recycling single stream and it seems to be working very well.,,
Brookline,Ed Gilbert,25605,13260,13260,Curbside,Curbside,Curbside,None,40,0,Both,Both,Both,10032,1343,2291,1686,0,34,0,0,0,0,111,15,0,0,0,52,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,52,3 to 10,0,3 to 10,Year Round,Year Round,0,Year Round,3 to 10,26,N,Y,,,
Buckland,Jan Ameen,750,675,675,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,232,0,79,44,0,0,0,0,0,0,14,0,0,0,0,0,Year Round,0,0,0,0,0,Year Round,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Burlington,John Sanchez,24521,6721,6721,Curbside,Curbside,Curbside,None,16,0,Both,Both,Neither,6565,0,1464,697,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,52,1 to 2,1 to 2,1 to 2,52,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,2,Y,N,,,
Cambridge,Randi Mail,45000,32205,45000,Curbside,Both,Curbside,Drop off,37,0,Both,Both,Neither,22669,1594,4100,2387,0,136,0,0,0,23,126,65,0,0,0,3 to 10,52,3 to 10,Year Round,3 to 10,3 to 10,52,3 to 10,3 to 10,52,52,52,3 to 10,52,52,3,N,N,"1998 tons of yard waste + Xmas trees, 154 tons electronics, 63 tons food scraps from residential drop-off and a few participating schools.  Small businesses do use our Recycling Drop-off Center, which is included in the total tons for cardboard, mixed paper, commingles, plastics and scrap metal.",,
Canton,Philip Levreault,7026,7026,7026,Curbside,Curbside,Drop off,None,0,200,Recycling,Recycling,Neither,7070,0,0,707,391,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,1,N,N,,,
Carlisle,Timothy Goddard,1847,1685,1685,Drop off,Drop off,Drop off,None,0,364,Recycling,Recycling,Both,1891,0,179,0,92.1,155,12.8,0,117.4,35.5,0,0,344,0,0,52,52,52,52,52,1 to 2,52,,1 to 2,,52,52,,52,52,1,N,N,"We began a school composting program in the spring of 2010 which has reduced our solid waste tonnage from the school site by approximately 30%. While steel/tin and aluminum are collected in separate bins, the town reports on a combined total weight of these materials.    We began collecting Styrofoam in January 2011 as a one time event and instituted 52 Styrofoam drop-off May 2011.",,
CARVER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,570,550,550,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,182,0,56,35,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,Year Round,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Charlton,Linda Davis,3961,1981,1981,None,None,None,None,0,0,Neither,Neither,Neither,2420.26,462.08,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,,,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,,4,N,N,"Charlton has no municipal trash or recycling service.  Everything is done by private subscription.  Only five of our seven licensed haulers reported their 2010 residential rates.  The households served total is only about half the town, the remainder being either with the two other haulers or not engaging in trash service.  Some of the haulers provide single stream, others separate.  I do not have breakdowns from all the haulers so report total tonnage under single stream as the bulk of the tonnage reported is from the two haulers using single stream.   As for HHWD, Casella provides 4 to the town in conjunction with the Southbridge HHWD as the landfill borders Charlton and sits partially on former Charlton land.  I'm not sure you would classify our HHWD as a regional or reciprocal event. There is no cost to the Town although we provide two volunteers.",,
Chatham,Jeffrey Colby,6586,3637,4487,Drop off,Drop off,Drop off,None,0,339,Neither,Neither,Neither,0,0,141,0,191,203,24,8,300,34,213,46,747,56,28,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,6,Y,N,,,
Chelmsford,Jennifer V. Almeida,13385,13377,13385,Curbside,Curbside,Drop off,None,0,2,Both,Both,Neither,11747,1905,1085,764,0,63,0,0,0,0,48,83,0,0,47,3 to 10,Year Round,Year Round,3 to 10,3 to 10,3 to 10,Year Round,3 to 10,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,,9,Y,N,"P. 1, #5: 2 yard waste events/year for brush only - currently no town leaf programs.  P. 2, #3: Single stream weights are for July-Dec. 2010; Dual stream numbers are for the beginning of the year.  Mixed paper includes 84 tons from Abitibi boxes at Chelmsford public schools.  Scrap metal/white goods tons are those collected through the town's fee-based curbside program with Appliance Recyclers.  Textile tonnage is that collected from Planet Aid and N.E. Clothes Recyclers boxes in town.  ""Other materials"" - tons of electronics collected through Appliance Recyclers' curbside program.  P. 2, #4-6: Chelmsford holds one HHW collection/year and also pays for residents to attend the Minuteman facility in Lexington.",,
Chelsea,Joe Foti,12037,6636,6711,Curbside,Curbside,Both,None,12,52,Both,Both,Neither,11527,527,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,1,Y,,,,
Cheshire,Rick Salvi,1367,1200,1200,Drop off,Drop off,Drop off,None,0,0,Neither,Neither,Both,755,0,82,35,0,0,0,0,0,0,46,0,0,0,0,0,Year Round,Year Round,0,0,1 to 2,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,Trash tonnage = 523 tons MSW compactor and 232 bulky waste box.  Cheshire is a member of the Northern Berkshire Solid Waste Management District.,,
Chester,Eric Weiss,500,450,450,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,143.96,0,26.74,41.93,0,0,0,0,0,0,30,10,0,0,5,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Chester is part of the Hilltown Resource Management Cooperative,,
Chesterfield,Eric Weiss,450,400,400,Drop off,Drop off,None,None,0,0,Both,Both,Both,176.25,0,23.67,44.89,0,0,0,0,0,0,13.1,3.1,0,0,3.55,0,1 to 2,Year Round,0,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Chesterfield is part of the Hilltown Resource Management Cooperative,,
Chicopee,Barry Brouillard,24102,18800,18800,Both,Both,Both,None,26,260,Neither,Neither,Both,17314.42,0,3757,1606,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,,3 to 10,3 to 10,3 to 10,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,"HHW is a sponsored event with a $15,000.00 limit (Waste Management)",,
CHILMARK,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSBURG,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,Michael J. Ward,5687,3150,5687,Curbside,Drop off,Drop off,None,0,4,Both,Both,Recycling,2122,0,139.62,0,0,68.98,21.96,0,56.1,29.82,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"1.)  No hazardous product collection event was held in 2010, but at least one will be done in 2011.  These events are run by volunteers on behalf of the town.    2.)  Mixed paper tonnage is declining at the Clinton Recycle Center due to the schools and many churches in the community installing newspaper/magazine collection bins that provide a financial return to the organization based on the tonnage collected.",,
Cohasset,Carl A. Sestito,2815,2482,2482,Drop off,Drop off,Drop off,Drop off,0,204,Both,Both,Both,1601,0,0,0,317,226,24,0,148,62,63,80,570,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,9,N,Y,,,
Colrain,Jan Ameen,623,603,603,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,204,0,64,50,0,0,0,0,0,0,31,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,1,Y,Y,,,
Concord,Rod Robison,5100,3339,3465,Curbside,Curbside,Drop off,None,0,36,Both,Both,Neither,2453,0,1197,613,22.04,558,0,0,0,0,23,0,36,20,10,0,Year Round,0,0,0,0,1 to 2,1 to 2,52,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,9,Y,,,,
Conway,Jan Ameen,780,750,750,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,549,0,130,83,0,0,0,0,0,0,43,3,0,5,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,1,Y,Y,,,
Cummington,Eric Weiss - Hrmc,380,350,350,Drop off,Drop off,None,None,0,0,Recycling,Recycling,Both,228.59,0,27.27,47.31,0,0,0,0,0,0,12.5,3.8,0,0,1.93,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Cummington is part of the Hilltown Resource Management Cooperative,,
Dalton,Edward Fahey,2300,1000,1000,Drop off,Drop off,Drop off,None,0,52,Neither,Neither,Neither,616,0,226,105,0,0,0,0,0,0,16,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,We are estimating the number of housholds that use the municipal transfer station,,
Danvers,Gail Bernard,10618,7810,7810,Both,Curbside,Both,None,18,267,Both,Both,Neither,7441,0,1371,740,0,0,0,0,0,0,111,0,0,0,0,Year Round,Year Round,Year Round,1 to 2,0,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,N,N,,,
Dartmouth,"David T. Hickox, P.E.",12333,9973,9973,Both,Both,Both,None,6,153,Trash,Trash,Neither,4631,0,99,817,1367,95,5,0,20,23,114,6,263,0,13,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,Y,N,Tire & Battery Drop-off held 2 times annually.  Tire drop-off with Transfer Station sticker - 2 tires annually,,
DEDHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deerfield,Jan Ameen,1920,1140,1140,Drop off,Drop off,Drop off,None,0,156,Neither,Neither,Neither,1123,0,253,130,0,0,0,0,0,0,47,0,0,0,0,0,Year Round,0,0,0,0,1 to 2,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Dennis,David Johansen,13465,4599,4681,Drop off,Drop off,Drop off,Drop off,0,291,Neither,Neither,Both,7049,0,0,0,388,333,16,15,226,73,339,258,1176,25,2953,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
